id	name	reason	replaced_by	pr	date	notes	commit	confidence
cpd11830_c0	S-Aminomethyldihydrolipoylprotein [c0]	id_changed	cpd15217_c0	#108	2025-03-11	fix: replaced lipoylprotein metabolites with lipoamide equivalents in glycine cleavage system reactions and adjusted reaction IDs accordingl	8214c5e	high
cpd12005_c0	Lipoylprotein [c0]	id_changed	cpd00213_c0	#108	2025-03-11	fix: replaced lipoylprotein metabolites with lipoamide equivalents in glycine cleavage system reactions and adjusted reaction IDs accordingl	8214c5e	high
cpd12225_c0	Dihydrolipolprotein [c0]	id_changed	cpd00449_c0	#108	2025-03-11	fix: replaced lipoylprotein metabolites with lipoamide equivalents in glycine cleavage system reactions and adjusted reaction IDs accordingl	8214c5e	high
cpd00213_c0	Lipoamide [c0]	dead_end		#126	2025-03-14	fix: replace disconnected lipoic acid biosynthesis pathway with intact one	6143ade	high
cpd00449_c0	Dihydrolipoamide [c0]	dead_end		#126	2025-03-14	fix: replace disconnected lipoic acid biosynthesis pathway with intact one	6143ade	high
cpd27144_c0	Gcv-H [c0]	dead_end		#126	2025-03-14	fix: replace disconnected lipoic acid biosynthesis pathway with intact one	6143ade	high
cpd27713_c0	Octanoylated-Gcv-H [c0]	dead_end		#126	2025-03-14	fix: replace disconnected lipoic acid biosynthesis pathway with intact one	6143ade	high
cpd14548_c0	C15812 [c0]	dead_end		#128	2025-03-14	fix: replaced disconnected iron-sulfur cluster biosynthesis pathway with intact version	40f19d9	high
cpd28205_c0	Sulfur-Carrier-Proteins-ThiI [c0]	dead_end		#128	2025-03-14	fix: replaced disconnected iron-sulfur cluster biosynthesis pathway with intact version	40f19d9	high
cpd15807_c0	"2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5&apos;-phosphate [c0]"	unknown		#137	2025-03-21	fix: remove rxn10506_c0 and cpd15807_c0; fix incorrect name for cpd02882_c0	5cb910f	none
cpd15359_c0	"2-Octaprenyl-6-methoxy-1,4-benzoquinol [c0]"	unknown		#139	2025-03-23	"fix: remove rxn09039_c0, cpd15359_c0, and cpd15361_c0"	8e1868d	none
cpd15361_c0	"2-Octaprenyl3-methyl-6-methoxy- 1,4-benzoquinol [c0]"	unknown		#139	2025-03-23	"fix: remove rxn09039_c0, cpd15359_c0, and cpd15361_c0"	8e1868d	none
cpd02654_c0	4-Methyl-5--2-phosphoethyl-thiazole [c0]	dead_end		#144	2025-03-25	fix: add missing thiamine biosynthesis reactions and remove inaccurate/dead-end ones	17806c5	high
cpd22312_c0	Adenylated-ThiS-Proteins [c0]	dead_end		#144	2025-03-25	fix: add missing thiamine biosynthesis reactions and remove inaccurate/dead-end ones	17806c5	high
cpd28259_c0	Thiocarboxyadenylated-ThiS-Proteins [c0]	dead_end		#144	2025-03-25	fix: add missing thiamine biosynthesis reactions and remove inaccurate/dead-end ones	17806c5	high
cpd00635_c0	Cbl [c0]	dead_end		#146	2025-03-26	fix: remove dead-end cobalamin metabolism reactions and remove cobalamin metabolites from biomass reaction	d4e881f	high
cpd00635_e0	Cbl [e0]	dead_end		#146	2025-03-26	fix: remove dead-end cobalamin metabolism reactions and remove cobalamin metabolites from biomass reaction	d4e881f	high
cpd01997_c0	Dimethylbenzimidazole [c0]	orphaned		#146	2025-03-26	fix: remove cpd03422_c0 and cpd01997_c0 from model as they were orphaned by previous changes	614ca75	high
cpd03422_c0	Cobinamide [c0]	orphaned		#146	2025-03-26	fix: remove cpd03422_c0 and cpd01997_c0 from model as they were orphaned by previous changes	614ca75	high
cpd03918_c0	Adenosyl cobinamide [c0]	dead_end		#146	2025-03-26	fix: remove dead-end cobalamin metabolism reactions and remove cobalamin metabolites from biomass reaction	d4e881f	high
cpd27744_c0	Oxidized-Flavoproteins [c0]	dead_end		#146	2025-03-26	fix: remove dead-end cobalamin metabolism reactions and remove cobalamin metabolites from biomass reaction	d4e881f	high
cpd28070_c0	Reduced-Flavoproteins [c0]	dead_end		#146	2025-03-26	fix: remove dead-end cobalamin metabolism reactions and remove cobalamin metabolites from biomass reaction	d4e881f	high
cpd33817_c0	Cbi(II) [c0]	dead_end		#146	2025-03-26	fix: remove dead-end cobalamin metabolism reactions and remove cobalamin metabolites from biomass reaction	d4e881f	high
cpd15277_c0	Palmitoyl-ACP [c0]	duplicate	cpd11476_c0	#147	2025-03-27	fix: remove duplicate hexadecanoyl-ACP metabolite	2da6ed1	high
cpd15371_c0	R-3-Hydroxyoctadecanoyl-acyl-carrierprotein- [c0]	duplicate	cpd11571_c0	#150	2025-03-27	"fix: removed duplicate dead-end reactions and metabolites rxn07979_c0, cpd15572_c0, cpd15371_c0"	f26baa4	high
cpd15572_c0	trans-octadec-2-enoyl-[acyl-carrier protein] [c0]	duplicate	cpd11572_c0	#150	2025-03-27	"fix: removed duplicate dead-end reactions and metabolites rxn07979_c0, cpd15572_c0, cpd15371_c0"	f26baa4	high
cpd27735_c0	Ox-Thioredoxin [c0]	duplicate	cpd11420_c0	#181	2025-04-02	fix: remove duplicate thioredoxin metabolites and reactions	4d7cb96	high
cpd28060_c0	Red-Thioredoxin [c0]	duplicate	cpd11421_c0	#181	2025-04-02	fix: remove duplicate thioredoxin metabolites and reactions	4d7cb96	high
cpd01914_c0	L-Methionine S-oxide [c0]	out_of_scope		#182	2025-04-02	fix: remove duplicate thioredoxin metabolites and reactions	f766310	high
cpd12237_c0	Peptide-L-methionine [c0]	out_of_scope		#182	2025-04-02	fix: remove duplicate thioredoxin metabolites and reactions	f766310	high
cpd14507_c0	Peptide-L-methionine (R)-S-oxide [c0]	out_of_scope		#182	2025-04-02	fix: remove duplicate thioredoxin metabolites and reactions	f766310	high
cpd14720_c0	L-Methionine (R)-S-oxide [c0]	out_of_scope		#182	2025-04-02	fix: remove duplicate thioredoxin metabolites and reactions	f766310	high
cpd02120_c0	Dihydrodipicolinate [c0]	id_changed	cpd21488_c0	#186	2025-04-03	"fix: replace rxn01644_c0, rxn02929_c0, and cpd02120_c0 with rxn40037_c0, rxn39452_c0, and cpd21488_c0"	2beff13	high
cpd11836_c0	(R)-3-Hydroxyacyl-[acyl-carrier protein] [c0]	unknown		#190	2025-04-03	fix: remove rxn07981_c0 and cpd11836_c0	825cbb8	none
