id	name	reason	replaced_by	pr	date	notes	commit	confidence
EX_cpd00531_e0	Exchange for Hg2+ [e0]	no_genomic_evidence		#303	2025-10-23	fix: GPRs of copper transport reactions and remove unsupported/unnecessary heavy metal transport reactions	4e6ca8a	high
EX_cpd00635_e0	Exchange for Cbl [e0]	dead_end		#146	2025-03-26	fix: remove dead-end cobalamin metabolism reactions and remove cobalamin metabolites from biomass reaction	d4e881f	high
EX_cpd00731_e0	Exchange for Ala-Ala [e0]	out_of_scope		#262	2025-09-23	fix: remove dipeptide uptake reactions and extracellular metabolites	0a93e6a	high
EX_cpd01012_e0	Exchange for Cd2+ [e0]	no_genomic_evidence		#303	2025-10-23	fix: GPRs of copper transport reactions and remove unsupported/unnecessary heavy metal transport reactions	4e6ca8a	high
EX_cpd01017_e0	Exchange for Cys-Gly [e0]	out_of_scope		#262	2025-09-23	fix: remove dipeptide uptake reactions and extracellular metabolites	0a93e6a	high
EX_cpd03453_e0	Exchange for Enterobactin [e0]	unknown		#290	2025-10-16	fix: remove EX_cpd03453_e0	8c0ec98	none
EX_cpd03726_e0	Exchange for Fe-enterochlin [e0]	unknown		#290	2025-10-16	fix: remove EX_cpd03726_e0	f6a2a21	none
EX_cpd04097_e0	Exchange for Pb [e0]	no_genomic_evidence		#303	2025-10-23	fix: GPRs of copper transport reactions and remove unsupported/unnecessary heavy metal transport reactions	4e6ca8a	high
EX_cpd11574_e0	Exchange for Molybdate [e0]	erroneous_annotation		#278	2025-10-01	fix: remove broken molybdenum pathway	7544274	high
rxn00154_c0	pyruvate:NAD+ 2-oxidoreductase (CoA-acetylating) [c0]	duplicate		#107	2025-03-11	fix: removed rxn00154_c0 for being a duplicate of rxn00011_c0 + rxn02342_c0 + rxn01871_c0	f764bcc	high
rxn00196_c0	"2,5-dioxopentanoate:NADP+ 5-oxidoreductase [c0]"	unknown		#316	2025-10-31	"fix: remove rxn00196, rxn01032, rxn01033, rxn08703, rxn37372, cpd00225, cpd00340, cpd02027"	c455699	none
rxn00227_c0	Acetyl phosphate phosphohydrolase [c0]	unknown		#292	2025-10-21	"fix: remove rxn00227_c0, rxn01103_c0, and WP_015066019.1"	40060c0	none
rxn00288_c0	Succinate:(acceptor) oxidoreductase [c0]	unknown		#392	2026-03-31	fix: remove rxn00288_c0 and rxn10126_c0 add rxn09272_c0	053f77f	none
rxn00304_c0	GTP:pyruvate 2-O-phosphotransferase [c0]	duplicate		#341	2025-12-18	fix: remove duplicate pyks	68159b3	high
rxn00309_c0	L-Lysine:NAD+ 6-oxidoreductase (deaminating) [c0]	unknown		#312	2025-10-29	fix: remove rxn00309_c0 and rxn01662_c0	93fb75e	none
rxn00317_c0	L-Lysine:2-oxoglutarate 6-aminotransferase [c0]	unknown		#283	2025-10-06	fix: remove rxn00317_c0 and WP_197047972.1	0774907	none
rxn00411_c0	CTP:pyruvate 2-O-phosphotransferase [c0]	duplicate		#341	2025-12-18	fix: remove duplicate pyks	68159b3	high
rxn00460_c0	UTP:pyruvate 2-O-phosphotransferase [c0]	duplicate		#341	2025-12-18	fix: remove duplicate pyks	68159b3	high
rxn00499_c0	(S)-Lactate:NAD+ oxidoreductase [c0]	unknown		#245	2025-09-15	"fix: correct GPRs for rxn00145_c0, rxn08792_c0, and rxn08793_c0 & remove rxn00499_c0"	64b156e	none
rxn00551_c0	diphosphate:D-fructose-6-phosphate 1-phosphotransferase [c0]	unknown		#340	2025-12-18	fix: remove rxn00551_c0	94abc2c	none
rxn00569_c0	Nitrite reductase (NAD(P)H) [c0]	unknown		#299	2025-10-22	fix: nitrate/nitrite redox reactions	a01d950	none
rxn00656_c0	L-Alanine:3-oxopropanoate aminotransferase [c0]	unknown		#291	2025-10-21	"fix: remove rxn00656_c0, rxn24212_c0, and WP_197047972.1"	fc5e5f3	none
rxn00668_c0	propanoyl-CoA:NADP+ 2-oxidoreductase [c0]	unknown		#286	2025-10-10	"fix: add rxn16586_c0 and WP_049586872.1, remove rxn00668_c0, cpd00663_c0, and WP_049586872.1"	ae4b7e9	none
rxn00782_c0	D-glyceraldehyde-3-phosphate:NADP+ oxidoreductase (phosphorylating) [c0]	unknown		#344	2026-01-06	fix: remove rxn00782	85d3d9d	none
rxn00840_c0	dATP:pyruvate 2-O-phosphotransferase [c0]	duplicate		#341	2025-12-18	fix: remove duplicate pyks	68159b3	high
