medium	description	compound	name
l1_tyr__L	L1 Minimal Medium with Tyrosine	mobd	Molybdate
l1_tyr__L	L1 Minimal Medium with Tyrosine	slnt	Selenite
l1_tyr__L	L1 Minimal Medium with Tyrosine	ni2	Ni2+
l1_tyr__L	L1 Minimal Medium with Tyrosine	k	K+
l1_tyr__L	L1 Minimal Medium with Tyrosine	cro4	chromate
l1_tyr__L	L1 Minimal Medium with Tyrosine	thm	Thiamin
l1_tyr__L	L1 Minimal Medium with Tyrosine	btn	BIOT
l1_tyr__L	L1 Minimal Medium with Tyrosine	b12	Vitamin B12
l1_tyr__L	L1 Minimal Medium with Tyrosine	ca2	Ca2+
l1_tyr__L	L1 Minimal Medium with Tyrosine	mg2	Mg
l1_tyr__L	L1 Minimal Medium with Tyrosine	tyr__L	Tyrosine
l1_glu__L	L1 Minimal Medium with Glutamate	o2	O2
l1_glu__L	L1 Minimal Medium with Glutamate	na1	Na+
l1_glu__L	L1 Minimal Medium with Glutamate	no3	Nitrate
l1_glu__L	L1 Minimal Medium with Glutamate	pi	Phosphate
l1_glu__L	L1 Minimal Medium with Glutamate	fe3	Fe+3
l1_glu__L	L1 Minimal Medium with Glutamate	cl	Cl-
l1_glu__L	L1 Minimal Medium with Glutamate	mn2	Mn2+
l1_glu__L	L1 Minimal Medium with Glutamate	zn2	Zn2+
l1_glu__L	L1 Minimal Medium with Glutamate	so4	Sulfate
l1_glu__L	L1 Minimal Medium with Glutamate	cobalt2	Co2+
l1_glu__L	L1 Minimal Medium with Glutamate	cu2	Cu2+
l1_glu__L	L1 Minimal Medium with Glutamate	mobd	Molybdate
l1_glu__L	L1 Minimal Medium with Glutamate	slnt	Selenite
l1_glu__L	L1 Minimal Medium with Glutamate	ni2	Ni2+
l1_glu__L	L1 Minimal Medium with Glutamate	k	K+
l1_glu__L	L1 Minimal Medium with Glutamate	cro4	chromate
l1_glu__L	L1 Minimal Medium with Glutamate	thm	Thiamin
l1_glu__L	L1 Minimal Medium with Glutamate	btn	BIOT
l1_glu__L	L1 Minimal Medium with Glutamate	b12	Vitamin B12
l1_glu__L	L1 Minimal Medium with Glutamate	ca2	Ca2+
l1_glu__L	L1 Minimal Medium with Glutamate	mg2	Mg
l1_glu__L	L1 Minimal Medium with Glutamate	glu__L	Glutamate
l1_val__L	L1 Minimal Medium with Valine	o2	O2
l1_val__L	L1 Minimal Medium with Valine	na1	Na+
l1_val__L	L1 Minimal Medium with Valine	no3	Nitrate
l1_val__L	L1 Minimal Medium with Valine	pi	Phosphate
l1_val__L	L1 Minimal Medium with Valine	fe3	Fe+3
l1_val__L	L1 Minimal Medium with Valine	cl	Cl-
l1_val__L	L1 Minimal Medium with Valine	mn2	Mn2+
l1_val__L	L1 Minimal Medium with Valine	zn2	Zn2+
l1_val__L	L1 Minimal Medium with Valine	so4	Sulfate
l1_val__L	L1 Minimal Medium with Valine	cobalt2	Co2+
l1_val__L	L1 Minimal Medium with Valine	cu2	Cu2+
l1_val__L	L1 Minimal Medium with Valine	mobd	Molybdate
l1_val__L	L1 Minimal Medium with Valine	slnt	Selenite
l1_val__L	L1 Minimal Medium with Valine	ni2	Ni2+
l1_val__L	L1 Minimal Medium with Valine	k	K+
l1_val__L	L1 Minimal Medium with Valine	cro4	chromate
l1_val__L	L1 Minimal Medium with Valine	thm	Thiamin
l1_val__L	L1 Minimal Medium with Valine	btn	BIOT
l1_val__L	L1 Minimal Medium with Valine	b12	Vitamin B12
l1_val__L	L1 Minimal Medium with Valine	ca2	Ca2+
l1_val__L	L1 Minimal Medium with Valine	mg2	Mg
l1_val__L	L1 Minimal Medium with Valine	val__L	Valine
