substrate,H+ [e0] + Nitrite [e0] <=> H+ + Nitrite,Ca2+ + H+ [e0] <=> Ca2+ [e0] + H+,H+ [e0] + K+ [e0] <=> H+ + K+,Formate [e0] + H+ [e0] <=> Formate + H+,H+ + Na+ [e0] <=> H+ [e0] + Na+,Mn2+ [e0] + H+ [e0] --> Mn2+ + H+,Sulfate [e0] + H+ [e0] <=> Sulfate + H+,0.5 O2 + 4.0 H+ + Cytochrome-bo-red --> H2O + 2.0 H+ [e0] + Cytochrome-bo-ox,0.5 O2 + 4.0 H+ + Cytochrome-bd-red --> H2O + 2.0 H+ [e0] + Cytochrome-bd-ox,ADP + Phosphate + 4.0 H+ [e0] <=> H2O + ATP + 3.0 H+,2.0 Cytochrome c3+ + Ubiquinol-8 --> 2.0 H+ [e0] + 2.0 Cytochrome c2+ + Ubiquinone-8,Ubiquinol-8 + Cytochrome-bo-ox --> 2.0 H+ [e0] + Ubiquinone-8 + Cytochrome-bo-red,Menaquinol 8 + Cytochrome-bd-ox --> 2.0 H+ [e0] + Menaquinone 8 + Cytochrome-bd-red,0.5 O2 + 4.0 H+ + 2.0 Cytochrome c2+ --> H2O + 2.0 H+ [e0] + 2.0 Cytochrome c3+,Zn2+ [e0] + H+ [e0] --> Zn2+ + H+,Acetate [e0] + H+ [e0] <=> Acetate + H+,H+ [e0] --> 
glutamic acid,-0.0,0.0015222128415678879,-0.0015222128415678879,-0.0,41.515906967524735,-0.0015222128415678879,-0.1948805413642759,0.0,0.326834813681815,-219.1927507335614,79.62140994964179,0.0,0.32683481368181494,79.6214099496418,-0.0015222128415678879,0.5025836731189273,17.475695533317946
valine,-13.367505906195818,0.0011155534048178063,-0.0011155534048178063,5.6360137376337996e-11,42.79977582645386,-0.0011155534048178063,-0.1428181693880116,79.72255035031644,0.2395208339197822,-223.53335783368553,0.0,79.72255035031644,0.23952083391978216,0.0,-0.0011155534048178063,3.8842420077701907,30.43775281332612
isoleucine,-4.642851835629642,0.0012292173971650278,-0.0012292173971650278,-3.1473688354604956e-12,48.313145600899546,-0.0012292173971650278,-0.1573699454323132,79.69428094185763,0.2639256666387543,-217.84992196838346,0.0,79.69428094185761,0.2639256666387542,0.0,-0.0012292173971650278,10.695866587750531,3.7271767786000622
alanine,-0.0,0.0012560316700393362,-0.0012560316700393362,-0.0,49.69893316345757,-0.0012560316700393362,-0.16080282937030824,79.9572949232167,0.0,-224.48147324758122,0.0,79.95729492321668,0.0,0.0,-0.0012560316700393362,6.387398125583521,8.643867004817132
leucine,-0.0,0.001071166450705417,-0.001071166450705417,-0.0,56.21506450436,-0.001071166450705417,-0.1371355516812683,79.73358984409215,0.22999049658385254,-221.76552063290038,0.0,79.73358984409215,0.2299904965838525,0.0,-0.001071166450705417,15.890927726984867,-10.128354395213819
aspartate,-0.0,0.0013101792659688833,-0.0013101792659688833,6.374655248341202e-28,39.058202153083315,-0.0013101792659688833,-0.16773504838736494,66.07860963592462,0.2813090157889194,-196.42474674034156,0.0,66.07860963592461,0.28130901578891937,0.0,-0.0013101792659688833,-0.0,24.81706269075052
proline,-7.296405248011994,0.001506550214980414,-0.001506550214980414,7.1361874980566905e-12,42.69975267453093,-0.001506550214980414,-0.19287534139144014,79.62530540665122,0.3234718860394414,-215.7380630469068,0.0,79.62530540665121,0.3234718860394413,0.0,-0.001506550214980414,1.200027925093632,19.433021551727172
glycine,-0.0,0.0012310614211359717,-0.0012310614211359717,-0.0,41.55423517904195,-0.0012310614211359717,-0.15760602568332896,73.22230653678464,0.0,-212.96882502594235,0.0,73.22230653678463,0.0,0.0,-0.0012310614211359717,-0.0,25.130044921856737
cocktail,-0.0,0.0013897180014095071,-0.0013897180014095071,-0.0,49.447854886968635,-0.0013897180014095071,-0.17791795540195393,79.95274958795218,0.0,-223.33378054510294,0.0,79.95274958795218,0.0,0.0,-0.0013897180014095071,5.113485412557143,9.047638461077549
