substrate,o2_level,nadph_drain,status,growth_rate,ed_flux,emp_flux,percent_ed_flux,co2_flux,cue,drain_flux,G6PDH (rxn00604),6PGDH / oxPPP (rxn01115),NADP-IDH (rxn01387),Malic enzyme (rxn00161),Transhydrogenase (rxn09295)
Glucose,20,0.0,optimal,0.7502789322950352,0.0,9.999999999999499,0.0,22.641802649713117,0.6226366225047814,0.0,4.999289402177302e-13,0.0,4.540995433998914,0.0,0.0
Glucose,20,0.5,optimal,0.7442373905383123,0.0,9.999999999999998,0.0,22.620529813259513,0.6229911697790081,0.5,0.0,0.0,4.999639516025895,0.0,0.0
Glucose,20,1.0,optimal,0.7381958487815791,0.0,9.999999999999998,0.0,22.599256976805854,0.6233457170532357,1.0,0.0,0.0,5.463112514867451,0.0,0.0
Glucose,20,1.5,optimal,0.7321543070248437,0.0,9.999999999997131,0.0,22.57798414035222,0.623700264327463,1.5,2.8680121453720105e-12,2.8680121453720105e-12,5.763268899851959,0.0,0.0
Glucose,20,2.0,optimal,0.7261127652681494,0.0,10.00000000000431,0.0,22.556711303898773,0.6240548116016871,2.0,-4.309937366230431e-12,-4.309937366230431e-12,5.7157119444701525,0.0,0.0
Glucose,20,2.5,optimal,0.7200712235113839,0.0,9.999999999996112,0.0,22.535438467444937,0.6244093588759176,2.5,3.887319904803495e-12,3.887319904803495e-12,5.668154989082744,0.0,0.0
Glucose,20,3.0,optimal,0.714029681754664,0.0,9.99999999999533,0.0,22.514165630991446,0.6247639061501425,3.0,4.6694763069869045e-12,4.6694763069869045e-12,5.620598033698045,0.0,0.0
Glucose,20,3.5,optimal,0.7079881399979479,0.0,9.999999999996207,0.0,22.492892794538008,0.6251184534243666,3.5,3.791909241882239e-12,3.791909241882239e-12,5.573041078313946,0.0,0.0
Glucose,20,4.0,optimal,0.7019465982412227,0.0,9.999999999991303,0.0,22.47161995808474,0.6254730006985876,4.0,8.695707154625802e-12,8.695707154625802e-12,5.525484122927768,0.0,0.0
Glucose,20,4.5,optimal,0.6959050564844929,0.0,9.999999999993962,0.0,22.450347121630916,0.6258275479728181,4.5,6.036974374509019e-12,6.036974374509019e-12,5.4779271675443075,0.0,0.0
Glucose,20,5.0,optimal,0.6898635147277603,0.0,9.99999999999026,0.0,22.429074285177403,0.6261820952470433,5.0,9.739617296884333e-12,9.739617296884333e-12,5.4303702121585316,0.0,0.0
Glucose,20,5.5,optimal,0.6838219729710492,0.0,9.999999999993863,0.0,22.407801448723852,0.6265366425212691,5.5,6.135746359283053e-12,6.135746359283053e-12,5.382813256775442,0.0,0.0
Glucose,20,6.0,optimal,0.6777804312143151,0.0,9.999999999994426,0.0,22.386528612270062,0.626891189795499,6.0,5.573714940552597e-12,5.573714940552597e-12,5.335256301391205,0.0,0.0
Glucose,20,6.5,optimal,0.671738889457647,0.0,10.000000000007082,0.0,22.36525577581679,0.6272457370697202,6.5,-7.083444365814741e-12,-7.083444365814741e-12,5.287699346011417,0.0,0.0
Glucose,20,7.0,optimal,0.6656973477008865,0.0,9.999999999997858,0.0,22.3439829393631,0.6276002843439483,7.0,2.1403451468199226e-12,2.1403451468199226e-12,5.240142390623626,0.0,0.0
Glucose,20,7.5,optimal,0.6596558059441621,0.0,9.9999999999977,0.0,22.3227101029096,0.6279548316181733,7.5,2.299359193296706e-12,2.299359193296706e-12,5.19258543523917,0.0,0.0
Glucose,20,8.0,optimal,0.653614264187438,0.0,9.999999999998167,0.0,22.301437266455977,0.6283093788924003,8.0,1.8322734684796174e-12,1.8322734684796174e-12,5.1450284798549175,0.0,0.0
Glucose,20,8.5,optimal,0.6475727224307095,0.0,9.999999999996792,0.0,22.280164430002426,0.6286639261666263,8.5,3.207681434025202e-12,3.207681434025202e-12,5.09747152446999,0.0,0.0
Glucose,20,9.0,optimal,0.6415311806739854,0.0,9.99999999999506,0.0,22.25889159354896,0.6290184734408506,9.0,4.9393133119195835e-12,4.9393133119195835e-12,5.049914569084951,0.0,0.0
Glucose,20,9.5,optimal,0.6354896389172694,0.0,10.000000000000709,0.0,22.237618757095177,0.6293730207150804,9.5,-7.105351927855682e-13,-7.105351927855682e-13,5.002357613702556,0.0,0.0
Glucose,20,10.0,optimal,0.6294480971605501,0.0,10.000000000002585,0.0,22.2163459206416,0.6297275679893066,10.0,-2.585125031399816e-12,-2.585125031399816e-12,4.954800658318827,0.0,0.0
Glucose,20,10.5,optimal,0.6234065554038313,0.0,10.000000000000751,0.0,22.19507308418824,0.6300821152635293,10.5,-7.522218122070812e-13,-7.522218122070812e-13,4.907243702933767,0.0,0.0
Glucose,20,11.0,optimal,0.617365013647103,0.0,9.999999999998085,0.0,22.17380024773478,0.6304366625377538,11.0,1.9136495070026083e-12,1.9136495070026083e-12,4.859686747548383,0.0,0.0
Glucose,20,11.5,optimal,0.6113234718903714,0.0,9.999999999996591,0.0,22.152527411281174,0.6307912098119804,11.5,3.4079250701723687e-12,3.4079250701723687e-12,4.812129792163423,0.0,0.0
Glucose,20,12.0,optimal,0.6052819301336644,0.0,9.999999999997796,0.0,22.13125457482784,0.6311457570862027,12.0,2.2041572115891903e-12,2.2041572115891903e-12,4.764572836779456,0.0,0.0
Glucose,20,12.5,optimal,0.5992403883769338,0.0,9.999999999995632,0.0,22.109981738374273,0.6315003043604288,12.5,4.36657116567502e-12,4.36657116567502e-12,4.71701588139425,0.0,0.0
Glucose,20,13.0,optimal,0.5931988466202135,0.0,9.999999999997168,0.0,22.08870890192068,0.6318548516346554,13.0,2.8306103229394656e-12,2.8306103229394656e-12,4.669458926010385,0.0,0.0
Glucose,20,13.5,optimal,0.5871573048634889,0.0,9.999999999998305,0.0,22.067436065467035,0.6322093989088827,13.5,1.693609894588081e-12,1.693609894588081e-12,4.621901970626372,0.0,0.0
Glucose,20,14.0,optimal,0.5811157631067592,0.0,10.000000000001185,0.0,22.04616322901321,0.6325639461831132,14.0,-1.1850118838448784e-12,-1.1850118838448786e-12,4.574345015242995,0.0,0.0
Glucose,20,14.5,optimal,0.5750742213500357,0.0,10.000000000002515,0.0,22.02489039255956,0.6329184934573406,14.5,-2.5167703336697e-12,-2.5167703336697e-12,4.52678805985906,0.0,0.0
Glucose,20,15.0,optimal,0.5690326795932971,0.0,9.999999999996525,0.0,22.003617556106104,0.633273040731565,15.0,3.473621501115287e-12,3.473621501115287e-12,4.479231104472472,0.0,0.0
Glucose,20,15.5,optimal,0.5629911378365868,0.0,10.000000000000568,0.0,21.982344719652545,0.6336275880057909,15.5,-5.685719222315966e-13,-5.685719222315966e-13,4.4316741490895115,0.0,0.0
Glucose,20,16.0,optimal,0.5569495960798697,0.0,10.000000000002748,0.0,21.961071883199033,0.6339821352800161,16.0,-2.747863813776116e-12,-2.747863813776116e-12,4.384117193705886,0.0,0.0
Glucose,20,16.5,optimal,0.5509080543231322,0.0,9.999999999997634,0.0,21.939799046745456,0.6343366825542425,16.5,2.364381597111022e-12,2.3643815971110222e-12,4.336560238319615,0.0,0.0
Glucose,20,17.0,optimal,0.54486651256641,0.0,9.999999999998748,0.0,21.91852621029188,0.6346912298284686,17.0,1.2501834655165623e-12,1.2501834655165623e-12,4.289003282935604,0.0,0.0
Glucose,20,17.5,optimal,0.5388249708096859,0.0,9.999999999996486,0.0,21.897253373838467,0.6350457771026923,17.5,3.51202314049499e-12,3.51202314049499e-12,4.241446327550353,0.0,0.0
Glucose,20,18.0,optimal,0.5327834290529572,0.0,9.999999999996215,0.0,21.87598053738484,0.6354003243769193,18.0,3.7845847880121496e-12,3.7845847880121496e-12,4.193889372165842,0.0,0.0
Glucose,20,18.5,optimal,0.5267418872962377,0.0,9.999999999999082,0.0,21.85470770093119,0.6357548716511469,18.5,9.174312037185874e-13,9.174312037185874e-13,4.146332416782457,0.0,0.0
Glucose,20,19.0,optimal,0.5207003455395273,0.0,10.000000000002483,0.0,21.833434864477674,0.6361094189253721,19.0,-2.4840685130812708e-12,-2.4840685130812708e-12,4.098775461399283,0.0,0.0
Glucose,20,19.5,optimal,0.5146588037828022,0.0,9.99999999999398,0.0,21.812162028024616,0.6364639661995897,19.5,6.017530593855846e-12,6.017530593855846e-12,4.051218506011822,0.0,0.0
Glucose,20,20.0,optimal,0.5086172620260685,0.0,9.9999999999976,0.0,21.79088919157063,0.6368185134738228,20.0,2.398680782300592e-12,2.398680782300592e-12,4.0036615506286655,0.0,0.0
Glucose,1000,0.0,optimal,0.8060395838134573,0.0,9.999999999999998,0.0,25.355288427770365,0.5774118595371606,0.0,0.0,0.0,5.616086385884091,0.0,0.0
Glucose,1000,0.5,optimal,0.803063657418556,0.0,10.000000000000048,0.0,25.483197917182572,0.5752800347136238,0.5,-4.920124641147669e-14,0.0,5.669192299099605,0.0,0.0
Glucose,1000,1.0,optimal,0.8000877310236557,0.0,9.999999999998593,0.0,25.611107406594847,0.5731482098900859,1.0,1.4052996404360603e-12,0.0,5.837309192697956,0.0,0.0
Glucose,1000,1.5,optimal,0.7971118046287525,0.0,9.999999999998543,0.0,25.7390168960069,0.5710163850665517,1.5,1.455614472179333e-12,0.0,6.319316820675821,0.0,0.0
Glucose,1000,2.0,optimal,0.7941358782338516,0.0,9.999999999996847,0.0,25.866926385419195,0.5688845602430135,2.0,3.151953418462371e-12,0.0,6.801324448652115,0.0,0.0
Glucose,1000,2.5,optimal,0.7911599518389268,0.0,9.999999999989898,0.0,25.994835874831683,0.5667527354194719,2.5,1.0101472464626115e-11,0.0,7.587046079424869,0.0,0.0
Glucose,1000,3.0,optimal,0.7881840254440458,0.0,9.999999999997767,0.0,26.12274536424318,0.564620910595947,3.0,2.231309100290148e-12,0.0,7.878053385531618,0.0,0.0
Glucose,1000,3.5,optimal,0.7852080990491381,0.0,9.999999999990994,0.0,26.250654853655945,0.562489085772401,3.5,9.004447101642233e-12,9.004447101642233e-12,7.923821911309124,0.0,0.0
Glucose,1000,4.0,optimal,0.782232172654228,0.0,9.999999999988727,0.0,26.378564343068135,0.5603572609488644,4.0,1.1271850900081134e-11,1.1271850900081134e-11,7.969590437087983,0.0,0.0
Glucose,1000,4.5,optimal,0.7792562462593282,0.0,9.999999999988606,0.0,26.506473832480264,0.5582254361253289,4.5,1.1392389225916742e-11,1.1392389225916742e-11,8.015358962867502,0.0,0.0
Glucose,1000,5.0,optimal,0.7762803198644502,0.0,10.000000000001055,0.0,26.634383321891246,0.5560936113018126,5.0,-1.0551052347769895e-12,-1.0551052347769895e-12,8.06112748865082,0.0,0.0
Glucose,1000,5.5,optimal,0.773304393469551,0.0,9.999999999999966,0.0,26.762292811303475,0.5539617864782754,5.5,3.255369575750228e-14,3.255369575750228e-14,8.106896014430053,0.0,0.0
Glucose,1000,6.0,optimal,0.7703284670746504,0.0,10.000000000000853,0.0,26.890202300715472,0.5518299616547422,6.0,-8.530628443029279e-13,-8.530628443029279e-13,8.152664540209873,0.0,0.0
Glucose,1000,6.5,optimal,0.7673525406797244,0.0,9.99999999998426,0.0,27.018111790129144,0.549698136831181,6.5,1.573988533472584e-11,1.573988533472584e-11,8.198433065984423,0.0,0.0
Glucose,1000,7.0,optimal,0.7643766142848339,0.0,9.99999999999185,0.0,27.14602127954047,0.5475663120076588,7.0,8.148813371333656e-12,8.148813371333656e-12,8.244201591766261,0.0,0.0
Glucose,1000,7.5,optimal,0.7614006878899328,0.0,9.999999999991354,0.0,27.273930768952614,0.5454344871841231,7.5,8.64457022581904e-12,8.64457022581904e-12,8.289970117545662,0.0,0.0
Glucose,1000,8.0,optimal,0.7584247614950331,0.0,9.999999999992935,0.0,27.401840258364512,0.5433026623605914,8.0,7.063807508145818e-12,7.063807508145818e-12,8.335738643325692,0.0,0.0
Glucose,1000,8.5,optimal,0.7554488351001577,0.0,10.00000000000723,0.0,27.52974974777534,0.5411708375370776,8.5,-7.229732457596407e-12,-7.229732457596407e-12,8.38150716910957,0.0,0.0
Glucose,1000,9.0,optimal,0.7524729087052607,0.0,10.000000000006695,0.0,27.65765923718757,0.5390390127135405,9.0,-6.695746683861258e-12,-6.695746683861258e-12,8.427275694888968,0.0,0.0
