PR Number,Date Opened,Date Merged,Scoring Version,Reactions,Metabolites,Genes,True Positive,True Negative,False Positive,False Negative,Matches,Interpretable,% Match,Scored,Conditions,Unsure,Excluded,Invalid Solve,No Uptake Route,Sensitivity,Specificity,Unbounded Flux Reactions
126,2025-03-15T00:55:24Z,2025-03-24T15:51:30Z,3,1336,1211,944,0,19,0,33,19,52,36.54,52,61,3,6,0,32,0.0,1.0,0
127,2025-03-15T01:03:32Z,2025-03-24T15:53:28Z,3,1336,1211,944,0,19,0,33,19,52,36.54,52,61,3,6,0,32,0.0,1.0,0
128,2025-03-15T01:40:22Z,2025-03-24T21:24:27Z,3,1336,1209,948,0,19,0,33,19,52,36.54,52,61,3,6,0,32,0.0,1.0,0
130,2025-03-17T16:32:37Z,2025-03-26T14:29:03Z,3,1339,1211,948,0,19,0,33,19,52,36.54,52,61,3,6,0,32,0.0,1.0,0
131,2025-03-17T16:40:47Z,2025-03-26T14:30:45Z,3,1339,1211,948,0,19,0,33,19,52,36.54,52,61,3,6,0,32,0.0,1.0,0
134,2025-03-19T14:50:07Z,2025-03-26T14:35:21Z,3,1339,1211,948,0,19,0,33,19,52,36.54,52,61,3,6,0,32,0.0,1.0,0
135,2025-03-19T22:13:15Z,2025-03-26T14:40:49Z,3,1343,1213,949,0,19,0,33,19,52,36.54,52,61,3,6,0,32,0.0,1.0,0
136,2025-03-21T21:11:19Z,2025-03-26T14:45:11Z,3,1344,1213,949,0,19,0,33,19,52,36.54,52,61,3,6,0,32,0.0,1.0,0
137,2025-03-21T21:35:26Z,2025-03-26T14:47:35Z,3,1343,1212,949,0,19,0,33,19,52,36.54,52,61,3,6,0,32,0.0,1.0,0
138,2025-03-22T00:05:22Z,2025-03-26T14:50:34Z,3,1344,1212,949,0,19,0,33,19,52,36.54,52,61,3,6,0,32,0.0,1.0,0
139,2025-03-23T17:46:52Z,2025-03-26T14:54:21Z,3,1345,1210,949,0,19,0,33,19,52,36.54,52,61,3,6,0,32,0.0,1.0,0
141,2025-03-24T17:44:21Z,2025-03-26T14:55:49Z,3,1346,1210,949,0,19,0,33,19,52,36.54,52,61,3,6,0,32,0.0,1.0,0
142,2025-03-24T18:57:22Z,2025-03-26T14:57:06Z,3,1343,1209,949,0,19,0,33,19,52,36.54,52,61,3,6,0,32,0.0,1.0,0
