PR Number,Date Opened,Date Merged,Scoring Version,Reactions,Metabolites,Genes,True Positive,True Negative,False Positive,False Negative,Matches,Interpretable,% Match,Scored,Conditions,Unsure,Excluded,Invalid Solve,No Uptake Route,Sensitivity,Specificity,Unbounded Flux Reactions
143,2025-03-24T21:45:41Z,2025-03-26T14:59:59Z,3,1345,1210,949,0,19,0,33,19,52,36.54,52,61,3,6,0,32,0.0,1.0,0
144,2025-03-25T23:05:55Z,2025-03-26T15:11:54Z,3,1345,1208,950,0,19,0,33,19,52,36.54,52,61,3,6,0,32,0.0,1.0,0
145,2025-03-26T19:42:29Z,2025-03-27T12:43:14Z,3,1346,1208,950,0,19,0,33,19,52,36.54,52,61,3,6,0,32,0.0,1.0,0
146,2025-03-26T20:37:57Z,2025-03-27T12:46:19Z,3,1341,1200,950,0,19,0,33,19,52,36.54,52,61,3,6,0,32,0.0,1.0,0
147,2025-03-27T12:43:49Z,2025-03-27T15:26:45Z,3,1345,1207,950,0,19,0,33,19,52,36.54,52,61,3,6,0,32,0.0,1.0,0
148,2025-03-27T15:28:06Z,2025-03-27T18:12:12Z,3,1341,1200,950,0,19,0,33,19,52,36.54,52,61,3,6,0,32,0.0,1.0,0
149,2025-03-27T20:40:47Z,2025-03-27T21:39:51Z,3,1341,1199,950,0,19,0,33,19,52,36.54,52,61,3,6,0,32,0.0,1.0,0
150,2025-03-27T20:49:02Z,2025-03-27T21:41:01Z,3,1340,1197,950,0,19,0,33,19,52,36.54,52,61,3,6,0,32,0.0,1.0,0
152,2025-03-27T22:03:27Z,2025-03-27T22:44:23Z,3,1341,1197,951,0,19,0,33,19,52,36.54,52,61,3,6,0,32,0.0,1.0,0
154,2025-03-27T22:43:24Z,2025-03-28T02:20:13Z,3,1341,1197,951,0,19,0,33,19,52,36.54,52,61,3,6,0,32,0.0,1.0,0
155,2025-03-27T22:54:50Z,2025-03-28T02:27:28Z,3,1341,1197,951,0,19,0,33,19,52,36.54,52,61,3,6,0,32,0.0,1.0,0
159,2025-03-28T15:21:39Z,2025-03-28T17:12:51Z,3,1341,1197,951,0,19,0,33,19,52,36.54,52,61,3,6,0,32,0.0,1.0,0
160,2025-03-28T19:07:40Z,2025-03-28T20:10:25Z,3,1343,1197,951,14,16,3,19,30,52,57.69,52,61,3,6,0,27,0.4242,0.8421,0
171,2025-03-31T22:17:03Z,2025-04-01T13:01:17Z,3,1347,1199,951,14,16,3,19,30,52,57.69,52,61,3,6,0,27,0.4242,0.8421,0
172,2025-04-01T13:14:44Z,2025-04-01T16:03:23Z,3,1349,1199,951,15,16,3,18,31,52,59.62,52,61,3,6,0,25,0.4545,0.8421,0
174,2025-04-01T20:28:42Z,2025-04-01T20:32:07Z,3,1351,1200,951,18,15,4,15,33,52,63.46,52,61,3,6,0,24,0.5455,0.7895,0
176,2025-04-01T22:24:41Z,2025-04-02T02:40:17Z,3,1351,1200,951,0,19,0,33,19,52,36.54,52,61,3,6,0,29,0.0,1.0,0
178,2025-04-02T18:54:06Z,2025-04-03T23:00:53Z,3,1351,1200,951,18,15,4,15,33,52,63.46,52,61,3,6,0,24,0.5455,0.7895,0
179,2025-04-02T19:15:27Z,2025-04-03T23:06:59Z,3,1358,1205,951,19,15,4,14,34,52,65.38,52,61,3,6,0,23,0.5758,0.7895,0
180,2025-04-02T19:34:08Z,2025-04-03T23:09:15Z,3,1358,1205,951,19,15,4,14,34,52,65.38,52,61,3,6,0,23,0.5758,0.7895,0
181,2025-04-02T19:53:47Z,2025-04-03T23:10:16Z,3,1356,1203,951,19,15,4,14,34,52,65.38,52,61,3,6,0,23,0.5758,0.7895,0
182,2025-04-02T20:51:31Z,2025-04-03T23:11:42Z,3,1353,1199,947,19,15,4,14,34,52,65.38,52,61,3,6,0,23,0.5758,0.7895,0
184,2025-04-03T17:38:46Z,2025-04-03T23:19:44Z,3,1353,1199,947,19,15,4,14,34,52,65.38,52,61,3,6,0,23,0.5758,0.7895,0
186,2025-04-03T18:30:58Z,2025-04-03T23:24:20Z,3,1353,1199,947,19,15,4,14,34,52,65.38,52,61,3,6,0,23,0.5758,0.7895,0
187,2025-04-03T18:51:49Z,2025-04-03T23:29:54Z,3,1353,1199,947,19,15,4,14,34,52,65.38,52,61,3,6,0,23,0.5758,0.7895,0
190,2025-04-03T20:40:36Z,2025-04-03T23:30:50Z,3,1352,1198,947,19,15,4,14,34,52,65.38,52,61,3,6,0,23,0.5758,0.7895,0
192,2025-04-04T20:24:46Z,2025-04-09T15:59:48Z,3,1351,1198,947,0,19,0,33,19,52,36.54,52,61,3,6,0,28,0.0,1.0,0
194,2025-04-07T15:19:12Z,2025-04-09T16:05:59Z,3,1351,1198,947,0,19,0,33,19,52,36.54,52,61,3,6,0,28,0.0,1.0,0
195,2025-04-07T16:28:31Z,2025-04-09T16:07:04Z,3,1351,1198,947,0,19,0,33,19,52,36.54,52,61,3,6,0,28,0.0,1.0,0
196,2025-04-08T21:32:12Z,2025-04-09T16:07:37Z,3,1351,1198,947,0,19,0,33,19,52,36.54,52,61,3,6,0,28,0.0,1.0,0
198,2025-04-09T15:41:59Z,2025-04-09T16:09:07Z,3,1351,1198,947,0,19,0,33,19,52,36.54,52,61,3,6,0,28,0.0,1.0,0
200,2025-04-09T16:52:48Z,2025-04-09T16:54:58Z,3,1353,1199,947,22,15,4,11,37,52,71.15,52,61,3,6,0,23,0.6667,0.7895,0
201,2025-04-09T19:52:24Z,2025-04-10T14:27:46Z,3,1357,1201,949,24,15,4,9,39,52,75.0,52,61,3,6,0,22,0.7273,0.7895,0
202,2025-04-09T20:13:39Z,2025-04-09T20:19:36Z,3,1355,1200,947,23,15,4,10,38,52,73.08,52,61,3,6,0,22,0.697,0.7895,0
204,2025-04-11T13:53:45Z,2025-04-25T19:26:20Z,3,1357,1201,949,24,15,4,9,39,52,75.0,52,61,3,6,0,22,0.7273,0.7895,0
205,2025-04-11T14:15:20Z,2025-04-25T19:27:09Z,3,1357,1201,949,24,15,4,9,39,52,75.0,52,61,3,6,0,22,0.7273,0.7895,0
206,2025-04-11T15:09:53Z,2025-04-25T19:27:45Z,3,1356,1201,949,24,15,4,9,39,52,75.0,52,61,3,6,0,22,0.7273,0.7895,0
207,2025-04-14T15:50:49Z,2025-04-25T19:28:11Z,3,1356,1201,949,24,15,4,9,39,52,75.0,52,61,3,6,0,22,0.7273,0.7895,0
208,2025-04-14T20:23:28Z,2025-04-25T19:40:40Z,3,1355,1200,949,24,15,4,9,39,52,75.0,52,61,3,6,0,22,0.7273,0.7895,0
209,2025-04-14T20:38:44Z,2025-04-25T19:41:08Z,3,1355,1200,949,24,15,4,9,39,52,75.0,52,61,3,6,0,22,0.7273,0.7895,0
210,2025-04-15T15:10:27Z,2025-04-25T19:41:47Z,3,1355,1200,949,24,15,4,9,39,52,75.0,52,61,3,6,0,22,0.7273,0.7895,0
211,2025-04-21T14:56:30Z,2025-04-25T19:44:41Z,3,1350,1197,949,33,1,18,0,34,52,65.38,52,61,3,6,0,1,1.0,0.0526,66
212,2025-04-21T15:50:36Z,2025-04-25T19:45:24Z,3,1347,1197,949,33,1,18,0,34,52,65.38,52,61,3,6,0,1,1.0,0.0526,68
213,2025-05-29T13:37:50Z,2025-05-29T15:43:43Z,3,1346,1197,949,24,15,4,9,39,52,75.0,52,61,3,6,0,22,0.7273,0.7895,0
214,2025-05-29T14:18:00Z,2025-05-29T15:44:49Z,3,1347,1197,951,24,15,4,9,39,52,75.0,52,61,3,6,0,22,0.7273,0.7895,0
215,2025-05-29T14:55:12Z,2025-05-29T17:33:31Z,3,1349,1198,951,24,15,4,9,39,52,75.0,52,61,3,6,0,22,0.7273,0.7895,0
216,2025-05-29T17:23:55Z,2025-05-29T17:35:30Z,3,1353,1200,951,24,15,4,9,39,52,75.0,52,61,3,6,0,22,0.7273,0.7895,0
217,2025-06-10T13:41:15Z,2025-06-10T13:53:42Z,3,1353,1200,951,24,15,4,9,39,52,75.0,52,61,3,6,0,22,0.7273,0.7895,0
244,2025-09-15T15:06:03Z,2025-09-15T15:45:14Z,3,1475,1305,986,24,14,5,9,38,52,73.08,52,61,3,6,0,21,0.7273,0.7368,2
245,2025-09-15T15:13:31Z,2025-09-15T15:48:05Z,3,1474,1305,986,24,14,5,9,38,52,73.08,52,61,3,6,0,21,0.7273,0.7368,2
246,2025-09-15T15:24:06Z,2025-09-19T18:35:39Z,3,1474,1305,980,24,14,5,9,38,52,73.08,52,61,3,6,0,21,0.7273,0.7368,2
248,2025-09-15T15:47:50Z,2025-09-19T18:36:18Z,3,1474,1305,980,24,14,5,9,38,52,73.08,52,61,3,6,0,21,0.7273,0.7368,2
249,2025-09-15T16:03:13Z,2025-09-19T19:55:55Z,3,1474,1305,978,24,14,5,9,38,52,73.08,52,61,3,6,0,21,0.7273,0.7368,2
250,2025-09-15T16:26:51Z,2025-09-19T20:04:34Z,3,1474,1305,976,24,14,5,9,38,52,73.08,52,61,3,6,0,21,0.7273,0.7368,2
251,2025-09-15T16:47:14Z,2025-09-19T20:05:54Z,3,1474,1305,976,24,14,5,9,38,52,73.08,52,61,3,6,0,21,0.7273,0.7368,2
252,2025-09-15T17:00:43Z,2025-09-19T20:09:24Z,3,1474,1305,978,24,14,5,9,38,52,73.08,52,61,3,6,0,21,0.7273,0.7368,2
261,2025-09-19T18:35:02Z,2025-09-19T20:09:55Z,3,1474,1305,978,24,14,5,9,38,52,73.08,52,61,3,6,0,21,0.7273,0.7368,2
262,2025-09-23T20:04:40Z,2025-09-24T15:44:46Z,3,1470,1303,977,24,14,5,9,38,52,73.08,52,61,3,6,0,21,0.7273,0.7368,2
263,2025-09-23T20:33:47Z,2025-09-24T15:45:25Z,3,1470,1303,977,24,14,5,9,38,52,73.08,52,61,3,6,0,21,0.7273,0.7368,2
264,2025-09-23T20:52:45Z,2025-09-24T15:45:55Z,3,1470,1303,977,24,14,5,9,38,52,73.08,52,61,3,6,0,21,0.7273,0.7368,2
268,2025-09-25T16:35:31Z,2025-09-29T15:20:10Z,3,1467,1301,976,24,14,5,9,38,52,73.08,52,61,3,6,0,21,0.7273,0.7368,2
270,2025-09-26T21:33:23Z,2025-09-29T15:20:57Z,3,1468,1302,977,24,14,5,9,38,52,73.08,52,61,3,6,0,21,0.7273,0.7368,2
274,2025-09-30T22:46:16Z,2025-10-16T13:03:25Z,3,1468,1302,976,24,14,5,9,38,52,73.08,52,61,3,6,0,21,0.7273,0.7368,2
275,2025-10-01T14:29:20Z,2025-10-16T16:38:20Z,3,1468,1302,976,24,14,5,9,38,52,73.08,52,61,3,6,0,21,0.7273,0.7368,2
277,2025-10-01T21:12:52Z,2025-10-16T16:53:50Z,3,1469,1303,977,24,14,5,9,38,52,73.08,52,61,3,6,0,21,0.7273,0.7368,2
278,2025-10-02T00:22:55Z,2025-10-16T16:54:23Z,3,1459,1291,972,24,14,5,9,38,52,73.08,52,61,3,6,0,21,0.7273,0.7368,2
279,2025-10-02T19:17:12Z,2025-10-16T16:54:55Z,3,1457,1290,972,24,14,5,9,38,52,73.08,52,61,3,6,0,21,0.7273,0.7368,2
280,2025-10-02T21:25:53Z,2025-10-16T20:35:08Z,3,1455,1287,972,24,15,4,9,39,52,75.0,52,61,3,6,0,22,0.7273,0.7895,2
281,2025-10-06T18:21:44Z,2025-10-16T21:05:22Z,3,1447,1286,969,22,15,4,11,37,52,71.15,52,61,3,6,0,22,0.6667,0.7895,2
282,2025-10-06T18:33:57Z,2025-10-16T21:05:51Z,3,1447,1286,969,22,15,4,11,37,52,71.15,52,61,3,6,0,22,0.6667,0.7895,2
283,2025-10-06T18:51:54Z,2025-10-16T21:06:20Z,3,1446,1286,969,22,15,4,11,37,52,71.15,52,61,3,6,0,22,0.6667,0.7895,2
284,2025-10-07T15:16:23Z,2025-10-16T21:10:12Z,3,1446,1286,971,22,15,4,11,37,52,71.15,52,61,3,6,0,22,0.6667,0.7895,2
285,2025-10-10T20:41:46Z,2025-10-16T21:29:34Z,3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
286,2025-10-10T20:54:35Z,2025-10-16T22:13:23Z,3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
288,2025-10-16T14:44:32Z,2025-10-16T22:19:47Z,3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
289,2025-10-16T20:12:41Z,2025-10-16T22:22:15Z,3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
290,2025-10-17T03:18:54Z,2025-10-21T16:00:01Z,3,1463,1288,969,22,15,4,11,37,52,71.15,52,61,3,6,0,22,0.6667,0.7895,2
291,2025-10-21T17:40:54Z,2025-10-21T18:51:31Z,3,1461,1288,968,22,15,4,11,37,52,71.15,52,61,3,6,0,22,0.6667,0.7895,2
292,2025-10-21T18:20:14Z,2025-10-21T18:55:58Z,3,1459,1288,967,22,15,4,11,37,52,71.15,52,61,3,6,0,22,0.6667,0.7895,2
293,2025-10-21T18:47:16Z,2025-10-21T18:56:52Z,3,1458,1286,967,22,15,4,11,37,52,71.15,52,61,3,6,0,22,0.6667,0.7895,2
299,2025-10-22T20:05:31Z,2025-10-23T15:24:24Z,3,1456,1286,967,22,15,4,11,37,52,71.15,52,61,3,6,0,22,0.6667,0.7895,2
300,2025-10-22T20:28:39Z,2025-10-23T15:28:45Z,3,1456,1286,967,22,15,4,11,37,52,71.15,52,61,3,6,0,22,0.6667,0.7895,2
301,2025-10-22T21:04:24Z,2025-10-23T15:31:04Z,3,1455,1285,966,22,15,4,11,37,52,71.15,52,61,3,6,0,22,0.6667,0.7895,2
302,2025-10-23T12:47:23Z,2025-10-23T15:37:52Z,3,1455,1285,968,22,15,4,11,37,52,71.15,52,61,3,6,0,22,0.6667,0.7895,2
303,2025-10-23T16:40:38Z,2025-10-27T13:40:08Z,3,1448,1280,963,22,15,4,11,37,52,71.15,52,61,3,6,0,22,0.6667,0.7895,2
304,2025-10-23T17:58:53Z,2025-10-27T13:43:52Z,3,1448,1277,957,22,15,4,11,37,52,71.15,52,61,3,6,0,22,0.6667,0.7895,2
305,2025-10-24T20:02:08Z,2025-10-27T13:44:50Z,3,1445,1274,955,22,15,4,11,37,52,71.15,52,61,3,6,0,22,0.6667,0.7895,2
306,2025-10-24T20:47:07Z,2025-10-27T13:47:48Z,3,1445,1274,955,22,15,4,11,37,52,71.15,52,61,3,6,0,22,0.6667,0.7895,2
307,2025-10-24T21:02:57Z,2025-10-27T13:50:57Z,3,1445,1274,956,22,15,4,11,37,52,71.15,52,61,3,6,0,22,0.6667,0.7895,2
308,2025-10-27T14:31:39Z,2025-10-27T15:25:45Z,3,1445,1274,956,22,15,4,11,37,52,71.15,52,61,3,6,0,22,0.6667,0.7895,2
309,2025-10-27T15:39:31Z,2025-10-27T16:05:36Z,3,1457,1279,956,26,15,4,7,41,52,78.85,52,61,3,6,0,20,0.7879,0.7895,2
311,2025-10-28T15:21:34Z,2025-10-28T17:55:27Z,3,1457,1279,956,26,15,4,7,41,52,78.85,52,61,3,6,0,20,0.7879,0.7895,2
312,2025-10-29T17:18:16Z,2025-10-29T17:50:10Z,3,1455,1279,955,25,15,4,8,40,52,76.92,52,61,3,6,0,20,0.7576,0.7895,2
313,2025-10-29T18:10:51Z,2025-10-30T16:38:22Z,3,1454,1279,953,25,15,4,8,40,52,76.92,52,61,3,6,0,20,0.7576,0.7895,2
315,2025-10-30T17:46:27Z,2025-11-11T18:57:29Z,3,1429,1245,951,25,15,4,8,40,52,76.92,52,61,3,6,0,20,0.7576,0.7895,2
316,2025-10-31T18:35:53Z,2025-11-04T02:44:07Z,3,1447,1275,953,25,15,4,8,40,52,76.92,52,61,3,6,0,20,0.7576,0.7895,2
317,2025-10-31T19:34:29Z,2025-11-04T02:45:14Z,3,1448,1275,953,25,15,4,8,40,52,76.92,52,61,3,6,0,20,0.7576,0.7895,2
318,2025-11-05T14:31:33Z,2025-11-11T18:59:14Z,3,1448,1275,953,25,15,4,8,40,52,76.92,52,61,3,6,0,20,0.7576,0.7895,2
319,2025-11-06T15:59:50Z,2025-11-11T19:41:23Z,3,1411,1227,950,25,15,4,8,40,52,76.92,52,61,3,6,0,20,0.7576,0.7895,2
328,2025-12-15T16:10:55Z,2025-12-15T16:17:03Z,3,1412,1227,950,25,15,4,8,40,52,76.92,52,61,3,6,0,20,0.7576,0.7895,2
329,2025-12-15T16:54:28Z,2025-12-15T18:12:01Z,3,1412,1227,950,25,15,4,8,40,52,76.92,52,61,3,6,0,20,0.7576,0.7895,13
339,2025-12-18T16:34:07Z,2025-12-18T17:43:27Z,3,1413,1227,950,25,15,4,8,40,52,76.92,52,61,3,6,0,20,0.7576,0.7895,15
340,2025-12-18T18:24:48Z,2025-12-18T18:31:42Z,3,1412,1227,950,25,15,4,8,40,52,76.92,52,61,3,6,0,20,0.7576,0.7895,13
341,2025-12-18T20:13:15Z,2025-12-18T20:21:00Z,3,1407,1227,950,25,15,4,8,40,52,76.92,52,61,3,6,0,20,0.7576,0.7895,13
344,2026-01-06T21:57:07Z,2026-01-07T15:44:16Z,3,1406,1227,950,25,15,4,8,40,52,76.92,52,61,3,6,0,20,0.7576,0.7895,0
347,2026-01-13T00:52:25Z,2026-01-13T00:57:28Z,3,1405,1227,950,25,15,4,8,40,52,76.92,52,61,3,6,0,20,0.7576,0.7895,0
348,2026-01-16T15:53:11Z,2026-01-16T15:54:04Z,3,1406,1227,950,25,15,4,8,40,52,76.92,52,61,3,6,0,20,0.7576,0.7895,0
360,2026-01-23T21:45:11Z,2026-01-23T21:49:31Z,3,1406,1227,950,25,15,4,8,40,52,76.92,52,61,3,6,0,20,0.7576,0.7895,0
363,2026-01-29T22:20:39Z,2026-01-30T15:54:30Z,3,1406,1227,950,25,15,4,8,40,52,76.92,52,61,3,6,0,20,0.7576,0.7895,0
364,2026-02-03T18:28:32Z,2026-02-03T18:32:50Z,3,1406,1227,950,25,15,4,8,40,52,76.92,52,61,3,6,0,20,0.7576,0.7895,0
367,2026-02-03T20:04:17Z,2026-02-03T20:12:27Z,3,1406,1225,949,25,15,4,8,40,52,76.92,52,61,3,6,0,20,0.7576,0.7895,0
377,2026-03-05T23:40:18Z,2026-03-06T02:18:28Z,3,1406,1226,949,25,15,4,8,40,52,76.92,52,61,3,6,0,20,0.7576,0.7895,0
385,2026-03-23T19:01:53Z,2026-03-23T19:10:14Z,3,1406,1226,949,25,15,4,8,40,52,76.92,52,61,3,6,0,20,0.7576,0.7895,0
388,2026-03-31T14:15:17Z,2026-03-31T14:19:51Z,3,1406,1226,955,25,15,4,8,40,52,76.92,52,61,3,6,0,20,0.7576,0.7895,0
392,2026-03-31T18:58:33Z,2026-03-31T19:02:45Z,3,1405,1226,951,25,15,4,8,40,52,76.92,52,61,3,6,0,20,0.7576,0.7895,0
394,2026-04-22T15:32:44Z,2026-04-22T15:37:17Z,3,1405,1226,951,25,15,4,8,40,52,76.92,52,61,3,6,0,20,0.7576,0.7895,0
395,2026-04-23T19:40:30Z,2026-04-24T15:03:32Z,3,1405,1226,951,25,15,4,8,40,52,76.92,52,61,3,6,0,20,0.7576,0.7895,0
398,2026-04-25T22:26:36Z,2026-04-25T22:35:02Z,3,1410,1229,951,26,15,4,7,41,52,78.85,52,61,3,6,0,19,0.7879,0.7895,0
414,2026-05-15T00:42:19Z,2026-05-15T01:31:12Z,3,1412,1230,951,26,15,4,7,41,52,78.85,52,61,3,6,0,19,0.7879,0.7895,0
425,2026-05-26T20:53:41Z,2026-05-26T20:57:29Z,3,1417,1234,951,27,15,4,6,42,52,80.77,52,61,3,6,0,19,0.8182,0.7895,0
430,2026-06-12T22:32:56Z,2026-06-12T22:37:40Z,3,1423,1237,951,29,15,4,4,44,52,84.62,52,61,3,6,0,17,0.8788,0.7895,0
431,2026-06-12T23:56:44Z,2026-06-13T00:02:24Z,3,1423,1237,951,29,15,4,4,44,52,84.62,52,61,3,6,0,17,0.8788,0.7895,0
437,2026-07-21T15:19:59Z,2026-07-21T18:05:53Z,3,1423,1237,951,29,15,4,4,44,52,84.62,52,61,3,6,0,17,0.8788,0.7895,0
438,2026-07-21T19:54:16Z,2026-07-21T20:06:31Z,3,1425,1238,951,30,15,4,3,45,52,86.54,52,61,3,6,0,16,0.9091,0.7895,0
441,2026-07-22T13:46:21Z,2026-07-22T13:56:48Z,3,1427,1239,951,31,15,4,2,46,52,88.46,52,61,3,6,0,15,0.9394,0.7895,0
442,2026-07-23T14:08:18Z,2026-07-23T14:16:02Z,3,1429,1240,951,32,15,4,1,47,52,90.38,52,61,3,6,0,14,0.9697,0.7895,0
445,2026-07-24T23:15:14Z,2026-07-27T14:53:04Z,3,1429,1240,951,32,15,4,1,47,52,90.38,52,61,3,6,0,14,0.9697,0.7895,0
447,2026-08-03T15:23:14Z,2026-08-03T15:28:02Z,3,1429,1240,951,32,15,4,1,47,52,90.38,52,61,3,6,0,14,0.9697,0.7895,0
449,2026-08-13T17:40:31Z,2026-08-13T18:00:46Z,3,1426,1238,949,32,17,2,1,49,52,94.23,52,61,3,6,0,16,0.9697,0.8947,0
