interval_start_h,interval_end_h,f,reaction_id,flux
0,2,10.0,rxn02201_c0,5.761051404103753e-07
0,2,10.0,rxn00351_c0,0.0
0,2,10.0,rxn07431_c0,0.0
0,2,10.0,rxn00836_c0,9.601752340173069e-07
0,2,10.0,rxn00423_c0,0.0
0,2,10.0,rxn00364_c0,5.6005324300862724e-05
0,2,10.0,rxn05561_c0,0.0
0,2,10.0,rxn03408_c0,0.0
0,2,10.0,rxn02177_c0,0.0
0,2,10.0,rxn05250_c0,0.0
0,2,10.0,rxn00646_c0,0.0
0,2,10.0,rxn01673_c0,0.0
0,2,10.0,rxn00247_c0,0.0
0,2,10.0,rxn05625_c0,0.0
0,2,10.0,rxn02342_c0,0.0012705969082500857
0,2,10.0,rxn00022_c0,0.0
0,2,10.0,rxn02000_c0,0.0
0,2,10.0,rxn03239_c0,0.0
0,2,10.0,rxn05457_c0,0.0
0,2,10.0,rxn00107_c0,0.0
0,2,10.0,rxn12008_c0,0.0
0,2,10.0,rxn04070_c0,1.9203504680345995e-07
0,2,10.0,rxn00199_c0,0.0
0,2,10.0,rxn03433_c0,0.0
0,2,10.0,rxn10231_c0,0.0
0,2,10.0,rxn02944_c0,0.0
0,2,10.0,rxn01867_c0,0.0
0,2,10.0,rxn10270_c0,0.0
0,2,10.0,rxn09240_c0,0.0
0,2,10.0,rxn01219_c0,0.0
0,2,10.0,rxn00800_c0,0.0
0,2,10.0,rxn01705_c0,0.0
0,2,10.0,rxn09177_c0,0.0
0,2,10.0,rxn00211_c0,0.0
0,2,10.0,rxn00179_c0,0.0
0,2,10.0,rxn00587_c0,0.0
0,2,10.0,rxn01210_c0,0.0
0,2,10.0,rxn00192_c0,0.0
0,2,10.0,rxn01218_c0,0.0
0,2,10.0,rxn05654_c0,0.0
0,2,10.0,rxn00545_c0,0.0
0,2,10.0,rxn08807_c0,0.0
0,2,10.0,rxn02316_c0,0.0
0,2,10.0,rxn00501_c0,3.8407009360691996e-07
0,2,10.0,rxn02320_c0,-9.181774795968463e-06
0,2,10.0,rxn03384_c0,0.0
0,2,10.0,rxn02504_c0,5.761051404103752e-07
0,2,10.0,rxn04996_c0,0.0
0,2,10.0,rxn00262_c0,0.0
0,2,10.0,rxn03173_c0,0.0
0,2,10.0,rxn03039_c0,0.0
0,2,10.0,rxn10262_c0,0.0
0,2,10.0,rxn10209_c0,0.0
0,2,10.0,rxn08084_c0,0.0
0,2,10.0,rxn10225_c0,0.0
0,2,10.0,rxn00898_c0,0.0
0,2,10.0,rxn05334_c0,3.11581283429965e-05
0,2,10.0,rxn10205_c0,0.0
0,2,10.0,rxn05040_c0,0.0
0,2,10.0,rxn00890_c0,0.0
0,2,10.0,rxn05377_c0,0.0
0,2,10.0,rxn08556_c0,0.0
0,2,10.0,rxn01843_c0,0.0
0,2,10.0,rxn00816_c0,0.0
0,2,10.0,rxn02988_c0,3.840700936059803e-07
0,2,10.0,rxn04792_c0,0.0
0,2,10.0,rxn01021_c0,0.0
0,2,10.0,rxn00165_c0,0.0
0,2,10.0,rxn10228_c0,0.0
0,2,10.0,rxn01117_c0,-7.70024002464085e-06
0,2,10.0,rxn08137_c0,0.0
0,2,10.0,rxn00001_c0,0.0
0,2,10.0,rxn05369_c0,0.0
0,2,10.0,rxn01331_c0,1.920350468034599e-07
0,2,10.0,rxn08895_c0,0.0
0,2,10.0,rxn00671_c0,0.0
0,2,10.0,rxn11268_c0,0.0
0,2,10.0,rxn00710_c0,0.0
0,2,10.0,rxn08817_c0,0.0
0,2,10.0,rxn00910_c0,0.0
0,2,10.0,rxn11944_c0,0.0
0,2,10.0,rxn01129_c0,-1.6874582171048624e-05
0,2,10.0,rxn08296_c0,0.0
0,2,10.0,rxn01297_c0,3.1960784969430115e-20
0,2,10.0,rxn01962_c0,0.0
0,2,10.0,rxn10254_c0,0.0
0,2,10.0,rxn01682_c0,5.4677984740037e-06
0,2,10.0,rxn08796_c0,0.0
0,2,10.0,rxn08941_c0,0.0
0,2,10.0,rxn03181_c0,3.850120012320425e-06
0,2,10.0,rxn09360_c0,0.0
0,2,10.0,rxn02331_c0,7.70024002464085e-06
0,2,10.0,rxn00337_c0,4.8253098243375126e-05
0,2,10.0,rxn05221_c0,0.0
0,2,10.0,rxn08308_c0,0.0
0,2,10.0,rxn01930_c0,0.0
0,2,10.0,rxn00208_c0,0.0
0,2,10.0,rxn08823_c0,0.0
0,2,10.0,rxn00140_c0,0.0
0,2,10.0,rxn05346_c0,3.1158128342996484e-05
0,2,10.0,rxn00867_c0,0.0
0,2,10.0,rxn00452_c0,0.0
0,2,10.0,rxn03248_c0,0.0
0,2,10.0,rxn08127_c0,0.0
0,2,10.0,rxn05386_c0,0.0
0,2,10.0,rxn05733_c0,0.0
0,2,10.0,rxn00416_c0,2.3263935016751613e-05
0,2,10.0,rxn00827_c0,0.0
0,2,10.0,rxn02270_c0,0.0
0,2,10.0,rxn09206_c0,0.0
0,2,10.0,rxn02376_c0,0.0006921229945095421
0,2,10.0,rxn08017_c0,0.0
0,2,10.0,rxn09209_c0,0.0
0,2,10.0,rxn12512_c0,0.0
0,2,10.0,rxn08669_c0,0.0
0,2,10.0,rxn00902_c0,4.3484472769670986e-05
0,2,10.0,rxn06672_c0,0.00020691370660844748
0,2,10.0,rxn00649_c0,0.0
0,2,10.0,rxn01739_c0,3.7922200377945126e-05
0,2,10.0,rxn02400_c0,0.0
0,2,10.0,rxn01268_c0,1.3978994211839667e-05
0,2,10.0,rxn00641_c0,0.0
0,2,10.0,rxn00361_c0,0.0
0,2,10.0,rxn02679_c0,0.0
0,2,10.0,rxn07434_c0,0.0
0,2,10.0,rxn01974_c0,3.306470586638086e-05
0,2,10.0,rxn00242_c0,0.0
0,2,10.0,rxn00568_c0,0.0
0,2,10.0,rxn08971_c0,0.0
0,2,10.0,rxn05316_c0,0.0
0,2,10.0,rxn29147_c0,0.0
0,2,10.0,rxn00060_c0,3.840700936069197e-07
0,2,10.0,rxn00225_c0,4.4559101490480846e-05
0,2,10.0,rxn05350_c0,3.115812834299649e-05
0,2,10.0,rxn09198_c0,0.0
0,2,10.0,rxn08838_c0,0.0
0,2,10.0,rxn05064_c0,3.8407009360691996e-07
0,2,10.0,rxn00148_c0,0.0011685025977692138
0,2,10.0,rxn00100_c0,0.0
0,2,10.0,rxn02842_c0,0.0
0,2,10.0,rxn00514_c0,5.617864761539713e-06
0,2,10.0,rxn00789_c0,9.181774795968463e-06
0,2,10.0,rxn03436_c0,2.8009571428151053e-05
0,2,10.0,rxn05390_c0,0.0
0,2,10.0,rxn08976_c0,0.0
0,2,10.0,rxn00781_c0,2.6708888425235413e-05
0,2,10.0,rxn00881_c0,0.0
0,2,10.0,rxn05298_c0,0.0
