interval_start_h,interval_end_h,f,exchange_reaction,bound_value,flux_at_optimum,is_binding
22,24,10.0,EX_cpd00091_e0,3.2488889338568423e-05,-3.2488889338568423e-05,True
24,26,10.0,EX_cpd00169_e0,1.2270839720113047e-05,-1.2270839720113047e-05,True
24,26,10.0,EX_cpd00024_e0,0.0004260470944370014,-0.0004260470944370014,True
24,26,10.0,EX_cpd00018_e0,8.915933315468203e-05,-8.915933315468203e-05,True
24,26,10.0,EX_cpd00395_e0,2.9292564279688375e-05,-2.9292564279688375e-05,True
24,26,10.0,EX_cpd01311_e0,0.00040224790581556313,-0.0,False
24,26,10.0,EX_cpd00023_e0,0.008663725361520519,-0.008663725361520519,True
24,26,10.0,EX_cpd00111_e0,0.00033787931153788866,-0.00033787931153788866,True
24,26,10.0,EX_cpd00080_e0,4.103812902585467e-05,-4.103812902585467e-05,True
24,26,10.0,EX_cpd00477_e0,4.184259973202316e-05,-4.184259973202316e-05,True
24,26,10.0,EX_cpd00061_e0,2.738435920797977e-05,-2.738435920797977e-05,True
24,26,10.0,EX_cpd00091_e0,7.18388672323953e-05,-7.18388672323953e-05,True
26,28,10.0,EX_cpd02711_e0,9.70106879470822e-05,-9.70106879470822e-05,True
26,28,10.0,EX_cpd00024_e0,0.00034822799206236737,-0.00034822799206236737,True
26,28,10.0,EX_cpd00018_e0,0.00016481825751948968,-0.00016481825751948968,True
26,28,10.0,EX_cpd01311_e0,0.000525316166601898,-0.0,False
26,28,10.0,EX_cpd00111_e0,0.000824987344313725,-0.000824987344313725,True
26,28,10.0,EX_cpd00080_e0,4.765863982990828e-06,-4.765863982990828e-06,True
26,28,10.0,EX_cpd00477_e0,4.6227086000472514e-05,-4.6227086000472514e-05,True
26,28,10.0,EX_cpd00091_e0,6.934477142452164e-05,-6.934477142452164e-05,True
28,30,10.0,EX_cpd00169_e0,0.00011845777555244749,-0.00011845777555244749,True
28,30,10.0,EX_cpd00024_e0,0.00022549792466200442,-0.00022549792466200442,True
28,30,10.0,EX_cpd00018_e0,8.6725583011655e-05,-8.6725583011655e-05,True
28,30,10.0,EX_cpd00395_e0,5.046940098834482e-05,-5.046940098834482e-05,True
28,30,10.0,EX_cpd01311_e0,0.0005381529059888094,0.0,False
28,30,10.0,EX_cpd00023_e0,0.024543520731002307,-0.024543520731002307,True
28,30,10.0,EX_cpd00080_e0,9.692264262937061e-05,-9.692264262937061e-05,True
28,30,10.0,EX_cpd00477_e0,4.648886353379946e-05,-4.648886353379946e-05,True
28,30,10.0,EX_cpd00061_e0,5.929093624242424e-05,-5.929093624242424e-05,True
28,30,10.0,EX_cpd00091_e0,9.464127183216793e-05,-9.464127183216793e-05,True
30,32,10.0,EX_cpd02711_e0,0.0002826121442037036,-0.0002826121442037036,True
30,32,10.0,EX_cpd00169_e0,1.2808311018518499e-05,-1.2808311018518499e-05,True
30,32,10.0,EX_cpd00024_e0,0.0002494462657407409,-0.0002494462657407409,True
30,32,10.0,EX_cpd00018_e0,7.222674729629639e-05,-7.222674729629639e-05,True
30,32,10.0,EX_cpd01311_e0,0.000775818370878368,0.0,False
30,32,10.0,EX_cpd00023_e0,0.003895804137037051,-0.003895804137037051,True
30,32,10.0,EX_cpd00111_e0,0.000386863211666667,-0.000386863211666667,True
30,32,10.0,EX_cpd00080_e0,0.00010664018537037038,-0.00010664018537037038,True
30,32,10.0,EX_cpd00477_e0,7.458332899999999e-05,-7.458332899999999e-05,True
30,32,10.0,EX_cpd00061_e0,0.00011372871644444456,-0.00011372871644444456,True
30,32,10.0,EX_cpd00091_e0,6.652385714814798e-05,-6.652385714814798e-05,True
32,34,10.0,EX_cpd02711_e0,7.563689787758709e-05,-7.563689787758709e-05,True
32,34,10.0,EX_cpd00169_e0,0.00018148172232496708,-0.00018148172232496708,True
32,34,10.0,EX_cpd00024_e0,0.0003330962506384844,-0.0003330962506384844,True
32,34,10.0,EX_cpd00018_e0,0.0001896697849581683,-0.0001896697849581683,True
32,34,10.0,EX_cpd00395_e0,0.0001665226265081462,-0.0001665226265081462,True
32,34,10.0,EX_cpd01311_e0,0.0001798397161362998,0.0,False
32,34,10.0,EX_cpd00023_e0,0.01758051618846323,-0.01758051618846323,True
32,34,10.0,EX_cpd00111_e0,0.0014780029952443851,-0.0014780029952443851,True
32,34,10.0,EX_cpd00080_e0,0.00016579991328929988,-0.00016579991328929988,True
32,34,10.0,EX_cpd00477_e0,0.0001275142495112286,-0.0001275142495112286,True
32,34,10.0,EX_cpd00061_e0,0.00017161759971818572,-0.00017161759971818572,True
32,34,10.0,EX_cpd00091_e0,0.00019717901449581684,-0.00019717901449581684,True
34,36,10.0,EX_cpd02711_e0,0.00019553781108711302,-0.00019553781108711302,True
34,36,10.0,EX_cpd00169_e0,6.670606515478754e-05,-6.670606515478754e-05,True
34,36,10.0,EX_cpd00024_e0,0.00033786727199424093,-0.00033786727199424093,True
34,36,10.0,EX_cpd00018_e0,6.129476021598264e-05,-6.129476021598264e-05,True
34,36,10.0,EX_cpd00395_e0,8.691160620590356e-05,-8.691160620590356e-05,True
34,36,10.0,EX_cpd00023_e0,0.008427623295896332,-0.008427623295896332,True
34,36,10.0,EX_cpd00080_e0,0.00011570609458603306,-0.00011570609458603306,True
34,36,10.0,EX_cpd00477_e0,3.0487340575953962e-05,-3.0487340575953962e-05,True
34,36,10.0,EX_cpd00061_e0,0.00012075227897768177,-0.00012075227897768177,True
34,36,10.0,EX_cpd00091_e0,5.47006415838734e-05,-5.47006415838734e-05,True
36,38,10.0,EX_cpd00024_e0,0.0001549897483792053,-0.0001549897483792053,True
36,38,10.0,EX_cpd00018_e0,3.741667659938846e-05,-3.741667659938846e-05,True
36,38,10.0,EX_cpd00395_e0,0.00018662618363302763,-0.00018662618363302763,True
36,38,10.0,EX_cpd00111_e0,0.00032933148207951046,-0.00032933148207951046,True
36,38,10.0,EX_cpd00080_e0,4.48961323180429e-05,-4.48961323180429e-05,True
36,38,10.0,EX_cpd00477_e0,1.4011061162079489e-05,-1.4011061162079489e-05,True
36,38,10.0,EX_cpd00091_e0,4.234904563914376e-05,-4.234904563914376e-05,True
38,40,10.0,EX_cpd00080_e0,2.274371031676792e-06,-2.274371031676792e-06,True
40,42,10.0,EX_cpd01311_e0,1.4893539469765634e-05,0.0,False
40,42,10.0,EX_cpd00111_e0,0.0002887938628887047,-0.0002887938628887047,True
42,44,10.0,EX_cpd00169_e0,4.189789180735937e-05,-4.189789180735937e-05,True
42,44,10.0,EX_cpd00477_e0,1.1664439967532452e-05,-1.1664439967532452e-05,True
44,46,10.0,EX_cpd02711_e0,0.00017207421837317946,-0.00017207421837317946,True
44,46,10.0,EX_cpd00024_e0,6.390377416872793e-05,-6.390377416872793e-05,True
44,46,10.0,EX_cpd00018_e0,7.26511884913438e-05,-7.26511884913438e-05,True
44,46,10.0,EX_cpd01311_e0,0.00016439590733531768,-0.0,False
44,46,10.0,EX_cpd00023_e0,0.006265808685353116,-0.006265808685353116,True
44,46,10.0,EX_cpd00111_e0,0.0002676263364660619,-0.0002676263364660619,True
44,46,10.0,EX_cpd00477_e0,9.707874932673888e-06,-9.707874932673888e-06,True
44,46,10.0,EX_cpd00091_e0,4.3174912338557954e-07,-4.3174912338557954e-07,True
