,Na⁺/H⁺ antiporter,other (consume),NaNQR (NADH→Na⁺ pump),AA:Na⁺ symporter
glucose,-66.79890110856024,-1.8354326070485252,68.63433371560876,0.0
glycerol,-76.53002416944645,-1.8728162752856587,78.4028404447321,0.0
glutamate,-41.515906967574104,-1.7357427294152665,55.25164969698937,-12.0
aspartate,-39.05820215237755,-1.4939659376355658,55.55216809001311,-15.0
alanine,-49.69893316349002,-1.4322227349898171,71.13115589847983,-20.0
glycine,-41.554235179069735,-1.403749760119328,72.95798493918906,-30.0
lysine,-57.04703725764706,-1.278018304756361,68.32505556240342,-10.0
