,other (produce),other (consume),Na⁺/H⁺ antiporter,ATP synthase (F₁),Cytochrome ETC
glucose,2.5566880239706844,-0.2109021407079365,66.79890110856024,-220.11258352568163,159.89054455219002
glycerol,7.2014066666631305,-0.2151977468928618,76.53002416944645,-229.70752121136528,159.8883151888606
glutamate,1.157775513321841,-0.19944717988899358,41.515906967574104,-219.19275073371492,159.24281989938885
aspartate,0.0013101792659670998,-0.17166558618503847,39.05820215237755,-196.42474673827942,132.71983730206355
alanine,6.928020093007754,-0.16457092438044824,49.69893316349002,-224.4814732476799,159.37522391074464
glycine,0.5298742566702621,-0.16129920994673824,41.554235179069735,-212.9688250260277,145.91596987837812
lysine,6.454957737137093,-9.32084542012242,57.04703725764706,-231.56532385603992,159.4424922471792
