,growth_rate
glucose,0.7502789322950353
glycerol,0.7655604406342472
glutamate,0.7095282042850249
aspartate,0.6106959003942685
alanine,0.5854568237975373
glycine,0.5738177839857277
lysine,0.5224219104879729
