substrate,met_id,o2_bound,o2_percent,o2_flux,growth_rate,biomass_c,co2_flux,organic_c_flux,c_ex_fluxes,cue,bge,gge
DHPS (dihydroxypropanesulfonate),cpd23538,24.64299357222606,80.0,-24.643,0.709,30.468,17.044,12.492,"{'EX_cpd00029_e0': 12.464, 'EX_cpd15380_e0': 0.015, 'EX_cpd01042_e0': 0.011, 'EX_cpd00204_e0': 0.002}",0.716,0.641,0.508
DHPS (dihydroxypropanesulfonate),cpd23538,27.72336776875432,90.0,-27.723,0.777,33.387,20.355,6.262,"{'EX_cpd00029_e0': 6.232, 'EX_cpd15380_e0': 0.017, 'EX_cpd01042_e0': 0.012, 'EX_cpd00204_e0': 0.002}",0.661,0.621,0.556
DHPS (dihydroxypropanesulfonate),cpd23538,30.803741965282576,100.0,-30.804,0.845,36.307,23.665,0.033,"{'EX_cpd15380_e0': 0.018, 'EX_cpd01042_e0': 0.013, 'EX_cpd00204_e0': 0.002}",0.606,0.605,0.605
DHPS (dihydroxypropanesulfonate),cpd23538,50.0,162.31794194469168,-30.804,0.845,36.307,23.665,0.033,"{'EX_cpd15380_e0': 0.018, 'EX_cpd01042_e0': 0.013, 'EX_cpd00204_e0': 0.002}",0.606,0.605,0.605
DHPS (dihydroxypropanesulfonate),cpd23538,40.0,129.85435355575333,-30.804,0.845,36.307,23.665,0.033,"{'EX_cpd15380_e0': 0.018, 'EX_cpd01042_e0': 0.013, 'EX_cpd00204_e0': 0.002}",0.606,0.605,0.605
DHPS (dihydroxypropanesulfonate),cpd23538,30.0,97.390765166815,-30.0,0.828,35.545,22.801,1.658,"{'EX_cpd00029_e0': 1.626, 'EX_cpd15380_e0': 0.018, 'EX_cpd01042_e0': 0.012, 'EX_cpd00204_e0': 0.002}",0.62,0.609,0.592
DHPS (dihydroxypropanesulfonate),cpd23538,20.0,64.92717677787667,-20.0,0.607,26.068,14.004,19.931,"{'EX_cpd00029_e0': 19.908, 'EX_cpd15380_e0': 0.013, 'EX_cpd01042_e0': 0.009, 'EX_cpd00204_e0': 0.001}",0.767,0.651,0.434
DHPS (dihydroxypropanesulfonate),cpd23538,10.0,32.463588388938334,-10.0,0.383,16.448,16.217,27.337,"{'EX_cpd00029_e0': 27.323, 'EX_cpd15380_e0': 0.008, 'EX_cpd01042_e0': 0.006, 'EX_cpd00204_e0': 0.001}",0.73,0.504,0.274
DHPS (dihydroxypropanesulfonate),cpd23538,1.0,3.2463588388938334,-1.0,0.177,7.582,18.256,34.163,"{'EX_cpd00029_e0': 34.156, 'EX_cpd15380_e0': 0.004, 'EX_cpd01042_e0': 0.003, 'EX_cpd00204_e0': 0.0}",0.696,0.293,0.126
Tyrosine,cpd00069,3.4954077030176074,10.0,-3.495,0.015,0.634,3.327,0.001,"{'EX_cpd15380_e0': 0.0, 'EX_cpd01042_e0': 0.0, 'EX_cpd00204_e0': 0.0}",0.16,0.16,0.16
Tyrosine,cpd00069,6.990815406035215,20.0,-6.991,0.081,3.476,6.71,0.003,"{'EX_cpd15380_e0': 0.002, 'EX_cpd01042_e0': 0.001, 'EX_cpd00204_e0': 0.0}",0.341,0.341,0.341
Tyrosine,cpd00069,10.48622310905282,30.0,-10.486,0.147,6.318,10.092,0.006,"{'EX_cpd15380_e0': 0.003, 'EX_cpd01042_e0': 0.002, 'EX_cpd00204_e0': 0.0}",0.385,0.385,0.385
Tyrosine,cpd00069,13.98163081207043,40.0,-13.982,0.213,9.159,13.475,0.008,"{'EX_cpd15380_e0': 0.005, 'EX_cpd01042_e0': 0.003, 'EX_cpd00204_e0': 0.0}",0.405,0.405,0.405
Tyrosine,cpd00069,17.477038515088037,50.0,-17.477,0.279,12.001,16.857,0.011,"{'EX_cpd15380_e0': 0.006, 'EX_cpd01042_e0': 0.004, 'EX_cpd00204_e0': 0.001}",0.416,0.416,0.416
Tyrosine,cpd00069,20.97244621810564,60.0,-20.972,0.346,14.843,20.24,0.013,"{'EX_cpd15380_e0': 0.007, 'EX_cpd01042_e0': 0.005, 'EX_cpd00204_e0': 0.001}",0.423,0.423,0.423
Tyrosine,cpd00069,24.46785392112325,70.0,-24.468,0.412,17.685,23.622,0.016,"{'EX_cpd15380_e0': 0.009, 'EX_cpd01042_e0': 0.006, 'EX_cpd00204_e0': 0.001}",0.428,0.428,0.428
Tyrosine,cpd00069,27.96326162414086,80.0,-27.963,0.478,20.527,27.005,0.018,"{'EX_cpd15380_e0': 0.01, 'EX_cpd01042_e0': 0.007, 'EX_cpd00204_e0': 0.001}",0.432,0.432,0.432
Tyrosine,cpd00069,31.458669327158464,89.99999999999999,-31.459,0.544,23.368,30.387,0.021,"{'EX_cpd15380_e0': 0.012, 'EX_cpd01042_e0': 0.008, 'EX_cpd00204_e0': 0.001}",0.435,0.435,0.435
Tyrosine,cpd00069,34.95407703017607,100.0,-34.954,0.61,26.21,33.77,0.024,"{'EX_cpd15380_e0': 0.013, 'EX_cpd01042_e0': 0.009, 'EX_cpd00204_e0': 0.001}",0.437,0.437,0.437
Tyrosine,cpd00069,50.0,143.0448298115115,-34.954,0.61,26.21,33.77,0.024,"{'EX_cpd15380_e0': 0.013, 'EX_cpd01042_e0': 0.009, 'EX_cpd00204_e0': 0.001}",0.437,0.437,0.437
Tyrosine,cpd00069,40.0,114.43586384920921,-34.954,0.61,26.21,33.77,0.024,"{'EX_cpd15380_e0': 0.013, 'EX_cpd01042_e0': 0.009, 'EX_cpd00204_e0': 0.001}",0.437,0.437,0.437
Tyrosine,cpd00069,30.0,85.8268978869069,-30.0,0.516,22.182,28.976,0.02,"{'EX_cpd15380_e0': 0.011, 'EX_cpd01042_e0': 0.008, 'EX_cpd00204_e0': 0.001}",0.434,0.434,0.433
Tyrosine,cpd00069,20.0,57.217931924604606,-20.0,0.327,14.052,19.299,0.013,"{'EX_cpd15380_e0': 0.007, 'EX_cpd01042_e0': 0.005, 'EX_cpd00204_e0': 0.001}",0.422,0.421,0.421
Tyrosine,cpd00069,10.0,28.608965962302303,-10.0,0.138,5.922,9.622,0.005,"{'EX_cpd15380_e0': 0.003, 'EX_cpd01042_e0': 0.002, 'EX_cpd00204_e0': 0.0}",0.381,0.381,0.381
Glutamate,cpd00023,2.0496711588953205,10.0,-2.05,0.103,4.433,11.317,39.25,"{'EX_cpd00029_e0': 5.21, 'EX_cpd00129_e0': 34.036, 'EX_cpd15380_e0': 0.002, 'EX_cpd01042_e0': 0.002, 'EX_cpd00204_e0': 0.0}",0.794,0.281,0.081
Glutamate,cpd00023,4.099342317790641,20.0,-4.099,0.256,11.004,22.16,26.837,"{'EX_cpd00029_e0': 8.981, 'EX_cpd00129_e0': 17.847, 'EX_cpd15380_e0': 0.005, 'EX_cpd01042_e0': 0.004, 'EX_cpd00204_e0': 0.001}",0.631,0.332,0.183
Glutamate,cpd00023,6.149013476685962,30.000000000000004,-6.149,0.393,16.872,31.199,11.932,"{'EX_cpd00029_e0': 11.916, 'EX_cpd15380_e0': 0.008, 'EX_cpd01042_e0': 0.006, 'EX_cpd00204_e0': 0.001}",0.48,0.351,0.281
Glutamate,cpd00023,8.198684635581282,40.0,-8.199,0.44,18.89,30.624,10.488,"{'EX_cpd00029_e0': 10.471, 'EX_cpd15380_e0': 0.009, 'EX_cpd01042_e0': 0.007, 'EX_cpd00204_e0': 0.001}",0.49,0.382,0.315
Glutamate,cpd00023,10.248355794476602,50.0,-10.248,0.487,20.907,30.05,9.045,"{'EX_cpd00029_e0': 9.026, 'EX_cpd15380_e0': 0.01, 'EX_cpd01042_e0': 0.007, 'EX_cpd00204_e0': 0.001}",0.499,0.41,0.348
Glutamate,cpd00023,12.298026953371924,60.00000000000001,-12.298,0.534,22.925,29.476,7.602,"{'EX_cpd00029_e0': 7.581, 'EX_cpd15380_e0': 0.011, 'EX_cpd01042_e0': 0.008, 'EX_cpd00204_e0': 0.001}",0.509,0.437,0.382
Glutamate,cpd00023,14.347698112267242,70.0,-14.348,0.581,24.943,28.902,6.159,"{'EX_cpd00029_e0': 6.136, 'EX_cpd15380_e0': 0.012, 'EX_cpd01042_e0': 0.009, 'EX_cpd00204_e0': 0.001}",0.518,0.463,0.416
Glutamate,cpd00023,16.397369271162564,80.0,-16.397,0.628,26.96,28.328,4.715,"{'EX_cpd00029_e0': 4.691, 'EX_cpd15380_e0': 0.013, 'EX_cpd01042_e0': 0.009, 'EX_cpd00204_e0': 0.001}",0.528,0.488,0.449
Glutamate,cpd00023,18.447040430057886,90.00000000000001,-18.447,0.675,28.978,27.753,3.272,"{'EX_cpd00029_e0': 3.246, 'EX_cpd15380_e0': 0.014, 'EX_cpd01042_e0': 0.01, 'EX_cpd00204_e0': 0.001}",0.537,0.511,0.483
Glutamate,cpd00023,20.496711588953204,100.0,-20.497,0.72,30.942,29.034,0.028,"{'EX_cpd15380_e0': 0.015, 'EX_cpd01042_e0': 0.011, 'EX_cpd00204_e0': 0.002}",0.516,0.516,0.516
Glutamate,cpd00023,50.0,243.9415697635504,-20.497,0.72,30.942,29.034,0.028,"{'EX_cpd15380_e0': 0.015, 'EX_cpd01042_e0': 0.011, 'EX_cpd00204_e0': 0.002}",0.516,0.516,0.516
Glutamate,cpd00023,40.0,195.15325581084034,-20.497,0.72,30.942,29.034,0.028,"{'EX_cpd15380_e0': 0.015, 'EX_cpd01042_e0': 0.011, 'EX_cpd00204_e0': 0.002}",0.516,0.516,0.516
Glutamate,cpd00023,30.0,146.36494185813024,-20.497,0.72,30.942,29.034,0.028,"{'EX_cpd15380_e0': 0.015, 'EX_cpd01042_e0': 0.011, 'EX_cpd00204_e0': 0.002}",0.516,0.516,0.516
Glutamate,cpd00023,20.0,97.57662790542017,-20.0,0.71,30.473,28.498,1.033,"{'EX_cpd00029_e0': 1.005, 'EX_cpd15380_e0': 0.015, 'EX_cpd01042_e0': 0.011, 'EX_cpd00204_e0': 0.002}",0.525,0.517,0.508
Glutamate,cpd00023,10.0,48.788313952710084,-10.0,0.481,20.663,30.12,9.22,"{'EX_cpd00029_e0': 9.201, 'EX_cpd15380_e0': 0.01, 'EX_cpd01042_e0': 0.007, 'EX_cpd00204_e0': 0.001}",0.498,0.407,0.344
Glutamate,cpd00023,1.0,4.878831395271008,-1.0,0.022,0.928,5.795,21.919,"{'EX_cpd00029_e0': 3.374, 'EX_cpd00129_e0': 18.544, 'EX_cpd15380_e0': 0.0, 'EX_cpd01042_e0': 0.0, 'EX_cpd00204_e0': 0.0}",0.798,0.138,0.032
Valine,cpd00156,3.355305000753652,10.0,-3.355,0.1,4.293,24.381,31.327,"{'EX_cpd00029_e0': 31.323, 'EX_cpd15380_e0': 0.002, 'EX_cpd01042_e0': 0.002, 'EX_cpd00204_e0': 0.0}",0.594,0.15,0.072
Valine,cpd00156,6.710610001507304,20.0,-6.711,0.213,9.154,33.492,17.355,"{'EX_cpd00029_e0': 17.347, 'EX_cpd15380_e0': 0.005, 'EX_cpd01042_e0': 0.003, 'EX_cpd00204_e0': 0.0}",0.442,0.215,0.153
Valine,cpd00156,10.065915002260956,30.0,-10.066,0.291,12.481,32.581,14.94,"{'EX_cpd00029_e0': 14.929, 'EX_cpd15380_e0': 0.006, 'EX_cpd01042_e0': 0.004, 'EX_cpd00204_e0': 0.001}",0.457,0.277,0.208
Valine,cpd00156,13.421220003014607,40.0,-13.421,0.368,15.808,31.669,12.524,"{'EX_cpd00029_e0': 12.51, 'EX_cpd15380_e0': 0.008, 'EX_cpd01042_e0': 0.006, 'EX_cpd00204_e0': 0.001}",0.472,0.333,0.263
Valine,cpd00156,16.77652500376826,50.0,-16.777,0.446,19.135,30.758,10.109,"{'EX_cpd00029_e0': 10.092, 'EX_cpd15380_e0': 0.01, 'EX_cpd01042_e0': 0.007, 'EX_cpd00204_e0': 0.001}",0.487,0.384,0.319
Valine,cpd00156,20.131830004521913,60.0,-20.132,0.523,22.463,29.846,7.694,"{'EX_cpd00029_e0': 7.673, 'EX_cpd15380_e0': 0.011, 'EX_cpd01042_e0': 0.008, 'EX_cpd00204_e0': 0.001}",0.503,0.429,0.374
Valine,cpd00156,23.48713500527556,70.0,-23.487,0.6,25.79,28.935,5.278,"{'EX_cpd00029_e0': 5.255, 'EX_cpd15380_e0': 0.013, 'EX_cpd01042_e0': 0.009, 'EX_cpd00204_e0': 0.001}",0.518,0.471,0.43
Valine,cpd00156,26.842440006029214,80.0,-26.842,0.678,29.117,28.023,2.863,"{'EX_cpd00029_e0': 2.837, 'EX_cpd15380_e0': 0.015, 'EX_cpd01042_e0': 0.01, 'EX_cpd00204_e0': 0.001}",0.533,0.51,0.485
Valine,cpd00156,30.197745006782867,90.0,-30.198,0.755,32.445,27.112,0.448,"{'EX_cpd00029_e0': 0.418, 'EX_cpd15380_e0': 0.016, 'EX_cpd01042_e0': 0.011, 'EX_cpd00204_e0': 0.002}",0.548,0.545,0.541
Valine,cpd00156,33.55305000753652,100.0,-33.553,0.827,35.508,24.464,0.032,"{'EX_cpd15380_e0': 0.018, 'EX_cpd01042_e0': 0.012, 'EX_cpd00204_e0': 0.002}",0.592,0.592,0.592
Valine,cpd00156,50.0,149.01774947067182,-33.553,0.827,35.508,24.464,0.032,"{'EX_cpd15380_e0': 0.018, 'EX_cpd01042_e0': 0.012, 'EX_cpd00204_e0': 0.002}",0.592,0.592,0.592
Valine,cpd00156,40.0,119.21419957653745,-33.553,0.827,35.508,24.464,0.032,"{'EX_cpd15380_e0': 0.018, 'EX_cpd01042_e0': 0.012, 'EX_cpd00204_e0': 0.002}",0.592,0.592,0.592
Valine,cpd00156,30.0,89.41064968240309,-30.0,0.751,32.249,27.166,0.59,"{'EX_cpd00029_e0': 0.561, 'EX_cpd15380_e0': 0.016, 'EX_cpd01042_e0': 0.011, 'EX_cpd00204_e0': 0.002}",0.547,0.543,0.537
Valine,cpd00156,20.0,59.60709978826873,-20.0,0.52,22.332,29.882,7.789,"{'EX_cpd00029_e0': 7.768, 'EX_cpd15380_e0': 0.011, 'EX_cpd01042_e0': 0.008, 'EX_cpd00204_e0': 0.001}",0.502,0.428,0.372
Valine,cpd00156,10.0,29.803549894134363,-10.0,0.289,12.415,32.599,14.987,"{'EX_cpd00029_e0': 14.976, 'EX_cpd15380_e0': 0.006, 'EX_cpd01042_e0': 0.004, 'EX_cpd00204_e0': 0.001}",0.457,0.276,0.207
Valine,cpd00156,1.0,2.9803549894134362,-1.0,0.013,0.575,15.861,43.564,"{'EX_cpd00029_e0': 43.564, 'EX_cpd15380_e0': 0.0, 'EX_cpd01042_e0': 0.0, 'EX_cpd00204_e0': 0.0}",0.736,0.035,0.01
Leucine,cpd00107,3.5643237135778856,10.0,-3.564,0.126,5.429,1.296,53.276,"{'EX_cpd00029_e0': 53.271, 'EX_cpd15380_e0': 0.003, 'EX_cpd01042_e0': 0.002, 'EX_cpd00204_e0': 0.0}",0.978,0.807,0.09
Leucine,cpd00107,7.128647427155771,20.0,-7.129,0.208,8.912,2.128,48.961,"{'EX_cpd00029_e0': 48.953, 'EX_cpd15380_e0': 0.004, 'EX_cpd01042_e0': 0.003, 'EX_cpd00204_e0': 0.0}",0.965,0.807,0.149
Leucine,cpd00107,10.692971140733658,30.000000000000004,-10.693,0.289,12.395,2.96,44.647,"{'EX_cpd00029_e0': 44.636, 'EX_cpd15380_e0': 0.006, 'EX_cpd01042_e0': 0.004, 'EX_cpd00204_e0': 0.001}",0.951,0.807,0.207
Leucine,cpd00107,14.257294854311542,40.0,-14.257,0.37,15.878,3.791,40.332,"{'EX_cpd00029_e0': 40.318, 'EX_cpd15380_e0': 0.008, 'EX_cpd01042_e0': 0.006, 'EX_cpd00204_e0': 0.001}",0.937,0.807,0.265
Leucine,cpd00107,17.821618567889427,50.0,-17.822,0.451,19.362,4.623,36.018,"{'EX_cpd00029_e0': 36.0, 'EX_cpd15380_e0': 0.01, 'EX_cpd01042_e0': 0.007, 'EX_cpd00204_e0': 0.001}",0.923,0.807,0.323
Leucine,cpd00107,21.385942281467315,60.00000000000001,-21.386,0.53,22.764,8.252,28.987,"{'EX_cpd00029_e0': 28.966, 'EX_cpd15380_e0': 0.011, 'EX_cpd01042_e0': 0.008, 'EX_cpd00204_e0': 0.001}",0.862,0.734,0.379
Leucine,cpd00107,24.950265995045196,70.0,-24.95,0.609,26.16,12.095,21.748,"{'EX_cpd00029_e0': 21.725, 'EX_cpd15380_e0': 0.013, 'EX_cpd01042_e0': 0.009, 'EX_cpd00204_e0': 0.001}",0.798,0.684,0.436
Leucine,cpd00107,28.514589708623085,80.0,-28.515,0.688,29.556,15.938,14.51,"{'EX_cpd00029_e0': 14.483, 'EX_cpd15380_e0': 0.015, 'EX_cpd01042_e0': 0.01, 'EX_cpd00204_e0': 0.001}",0.734,0.65,0.493
Leucine,cpd00107,32.07891342220097,90.0,-32.079,0.767,32.952,19.781,7.271,"{'EX_cpd00029_e0': 7.242, 'EX_cpd15380_e0': 0.016, 'EX_cpd01042_e0': 0.012, 'EX_cpd00204_e0': 0.002}",0.67,0.625,0.549
Leucine,cpd00107,35.643237135778854,100.0,-35.643,0.846,36.348,23.623,0.033,"{'EX_cpd15380_e0': 0.018, 'EX_cpd01042_e0': 0.013, 'EX_cpd00204_e0': 0.002}",0.606,0.606,0.606
Leucine,cpd00107,50.0,140.27906558972379,-35.643,0.846,36.348,23.623,0.033,"{'EX_cpd15380_e0': 0.018, 'EX_cpd01042_e0': 0.013, 'EX_cpd00204_e0': 0.002}",0.606,0.606,0.606
Leucine,cpd00107,40.0,112.22325247177902,-35.643,0.846,36.348,23.623,0.033,"{'EX_cpd15380_e0': 0.018, 'EX_cpd01042_e0': 0.013, 'EX_cpd00204_e0': 0.002}",0.606,0.606,0.606
Leucine,cpd00107,30.0,84.16743935383425,-30.0,0.721,30.972,17.539,11.493,"{'EX_cpd00029_e0': 11.465, 'EX_cpd15380_e0': 0.015, 'EX_cpd01042_e0': 0.011, 'EX_cpd00204_e0': 0.002}",0.708,0.638,0.516
Leucine,cpd00107,20.0,56.11162623588951,-20.0,0.499,21.443,6.758,31.801,"{'EX_cpd00029_e0': 31.782, 'EX_cpd15380_e0': 0.011, 'EX_cpd01042_e0': 0.007, 'EX_cpd00204_e0': 0.001}",0.887,0.76,0.357
Leucine,cpd00107,10.0,28.055813117944755,-10.0,0.273,11.718,2.798,45.486,"{'EX_cpd00029_e0': 45.475, 'EX_cpd15380_e0': 0.006, 'EX_cpd01042_e0': 0.004, 'EX_cpd00204_e0': 0.001}",0.953,0.807,0.195
Leucine,cpd00107,1.0,2.8055813117944752,-1.0,0.068,2.923,0.698,56.38,"{'EX_cpd00029_e0': 56.377, 'EX_cpd15380_e0': 0.001, 'EX_cpd01042_e0': 0.001, 'EX_cpd00204_e0': 0.0}",0.988,0.807,0.049
Isoleucine,cpd00322,3.3878721159143996,10.0,-3.388,0.137,5.869,12.129,22.695,"{'EX_cpd00029_e0': 22.69, 'EX_cpd15380_e0': 0.003, 'EX_cpd01042_e0': 0.002, 'EX_cpd00204_e0': 0.0}",0.702,0.326,0.144
Isoleucine,cpd00322,6.775744231828799,20.0,-6.776,0.269,11.555,17.174,31.272,"{'EX_cpd00029_e0': 31.262, 'EX_cpd15380_e0': 0.006, 'EX_cpd01042_e0': 0.004, 'EX_cpd00204_e0': 0.001}",0.714,0.402,0.193
Isoleucine,cpd00322,10.1636163477432,30.000000000000004,-10.164,0.347,14.899,16.356,28.747,"{'EX_cpd00029_e0': 28.733, 'EX_cpd15380_e0': 0.007, 'EX_cpd01042_e0': 0.005, 'EX_cpd00204_e0': 0.001}",0.727,0.477,0.248
Isoleucine,cpd00322,13.551488463657599,40.0,-13.551,0.425,18.243,15.538,26.221,"{'EX_cpd00029_e0': 26.205, 'EX_cpd15380_e0': 0.009, 'EX_cpd01042_e0': 0.006, 'EX_cpd00204_e0': 0.001}",0.741,0.54,0.304
Isoleucine,cpd00322,16.939360579572,50.0,-16.939,0.503,21.587,14.721,23.696,"{'EX_cpd00029_e0': 23.676, 'EX_cpd15380_e0': 0.011, 'EX_cpd01042_e0': 0.008, 'EX_cpd00204_e0': 0.001}",0.755,0.595,0.36
Isoleucine,cpd00322,20.3272326954864,60.00000000000001,-20.327,0.58,24.93,13.903,21.17,"{'EX_cpd00029_e0': 21.147, 'EX_cpd15380_e0': 0.012, 'EX_cpd01042_e0': 0.009, 'EX_cpd00204_e0': 0.001}",0.768,0.642,0.416
Isoleucine,cpd00322,23.715104811400803,70.0,-23.715,0.658,28.274,13.085,18.644,"{'EX_cpd00029_e0': 18.619, 'EX_cpd15380_e0': 0.014, 'EX_cpd01042_e0': 0.01, 'EX_cpd00204_e0': 0.001}",0.782,0.684,0.471
Isoleucine,cpd00322,27.102976927315197,80.0,-27.103,0.735,31.548,14.689,13.766,"{'EX_cpd00029_e0': 13.738, 'EX_cpd15380_e0': 0.016, 'EX_cpd01042_e0': 0.011, 'EX_cpd00204_e0': 0.002}",0.755,0.682,0.526
Isoleucine,cpd00322,30.490849043229602,90.0,-30.491,0.809,34.763,18.341,6.9,"{'EX_cpd00029_e0': 6.869, 'EX_cpd15380_e0': 0.017, 'EX_cpd01042_e0': 0.012, 'EX_cpd00204_e0': 0.002}",0.694,0.655,0.579
Isoleucine,cpd00322,33.878721159144,100.0,-33.879,0.884,37.978,21.992,0.034,"{'EX_cpd15380_e0': 0.019, 'EX_cpd01042_e0': 0.013, 'EX_cpd00204_e0': 0.002}",0.633,0.633,0.633
Isoleucine,cpd00322,50.0,147.58526381538107,-33.879,0.884,37.978,21.992,0.034,"{'EX_cpd15380_e0': 0.019, 'EX_cpd01042_e0': 0.013, 'EX_cpd00204_e0': 0.002}",0.633,0.633,0.633
Isoleucine,cpd00322,40.0,118.06821105230485,-33.879,0.884,37.978,21.992,0.034,"{'EX_cpd15380_e0': 0.019, 'EX_cpd01042_e0': 0.013, 'EX_cpd00204_e0': 0.002}",0.633,0.633,0.633
Isoleucine,cpd00322,30.0,88.55115828922864,-30.0,0.799,34.297,17.812,7.895,"{'EX_cpd00029_e0': 7.864, 'EX_cpd15380_e0': 0.017, 'EX_cpd01042_e0': 0.012, 'EX_cpd00204_e0': 0.002}",0.703,0.658,0.572
Isoleucine,cpd00322,20.0,59.03410552615242,-20.0,0.573,24.607,13.982,21.414,"{'EX_cpd00029_e0': 21.392, 'EX_cpd15380_e0': 0.012, 'EX_cpd01042_e0': 0.009, 'EX_cpd00204_e0': 0.001}",0.767,0.638,0.41
Isoleucine,cpd00322,10.0,29.51705276307621,-10.0,0.343,14.738,16.396,28.869,"{'EX_cpd00029_e0': 28.855, 'EX_cpd15380_e0': 0.007, 'EX_cpd01042_e0': 0.005, 'EX_cpd00204_e0': 0.001}",0.727,0.473,0.246
Isoleucine,cpd00322,1.0,2.9517052763076217,-1.0,0.001,0.049,3.988,7.963,"{'EX_cpd00029_e0': 7.963, 'EX_cpd15380_e0': 0.0, 'EX_cpd01042_e0': 0.0, 'EX_cpd00204_e0': 0.0}",0.668,0.012,0.004
3-methyl-2-oxobutanoic acid,cpd00123,3.0160919456247104,10.0,-3.016,0.104,4.459,22.983,32.558,"{'EX_cpd00029_e0': 32.554, 'EX_cpd15380_e0': 0.002, 'EX_cpd01042_e0': 0.002, 'EX_cpd00204_e0': 0.0}",0.617,0.162,0.074
3-methyl-2-oxobutanoic acid,cpd00123,6.032183891249421,20.0,-6.032,0.214,9.181,33.485,17.335,"{'EX_cpd00029_e0': 17.327, 'EX_cpd15380_e0': 0.005, 'EX_cpd01042_e0': 0.003, 'EX_cpd00204_e0': 0.0}",0.442,0.215,0.153
3-methyl-2-oxobutanoic acid,cpd00123,9.048275836874131,30.0,-9.048,0.283,12.172,32.666,15.164,"{'EX_cpd00029_e0': 15.153, 'EX_cpd15380_e0': 0.006, 'EX_cpd01042_e0': 0.004, 'EX_cpd00204_e0': 0.001}",0.456,0.271,0.203
3-methyl-2-oxobutanoic acid,cpd00123,12.064367782498842,40.0,-12.064,0.353,15.163,31.846,12.993,"{'EX_cpd00029_e0': 12.979, 'EX_cpd15380_e0': 0.008, 'EX_cpd01042_e0': 0.005, 'EX_cpd00204_e0': 0.001}",0.469,0.323,0.253
3-methyl-2-oxobutanoic acid,cpd00123,15.08045972812355,49.99999999999999,-15.08,0.423,18.154,31.027,10.822,"{'EX_cpd00029_e0': 10.806, 'EX_cpd15380_e0': 0.009, 'EX_cpd01042_e0': 0.006, 'EX_cpd00204_e0': 0.001}",0.483,0.369,0.303
3-methyl-2-oxobutanoic acid,cpd00123,18.096551673748262,60.0,-18.097,0.492,21.144,30.207,8.651,"{'EX_cpd00029_e0': 8.632, 'EX_cpd15380_e0': 0.011, 'EX_cpd01042_e0': 0.007, 'EX_cpd00204_e0': 0.001}",0.497,0.412,0.352
3-methyl-2-oxobutanoic acid,cpd00123,21.11264361937297,70.0,-21.113,0.562,24.135,29.388,6.479,"{'EX_cpd00029_e0': 6.458, 'EX_cpd15380_e0': 0.012, 'EX_cpd01042_e0': 0.008, 'EX_cpd00204_e0': 0.001}",0.51,0.451,0.402
3-methyl-2-oxobutanoic acid,cpd00123,24.128735564997683,80.0,-24.129,0.632,27.126,28.569,4.308,"{'EX_cpd00029_e0': 4.284, 'EX_cpd15380_e0': 0.014, 'EX_cpd01042_e0': 0.009, 'EX_cpd00204_e0': 0.001}",0.524,0.487,0.452
3-methyl-2-oxobutanoic acid,cpd00123,27.144827510622395,90.0,-27.145,0.701,30.117,27.749,2.137,"{'EX_cpd00029_e0': 2.11, 'EX_cpd15380_e0': 0.015, 'EX_cpd01042_e0': 0.011, 'EX_cpd00204_e0': 0.002}",0.538,0.52,0.502
3-methyl-2-oxobutanoic acid,cpd00123,30.1609194562471,99.99999999999999,-30.161,0.771,33.1,26.875,0.03,"{'EX_cpd15380_e0': 0.017, 'EX_cpd01042_e0': 0.012, 'EX_cpd00204_e0': 0.002}",0.552,0.552,0.552
3-methyl-2-oxobutanoic acid,cpd00123,50.0,165.77743948599587,-30.161,0.771,33.1,26.875,0.03,"{'EX_cpd15380_e0': 0.017, 'EX_cpd01042_e0': 0.012, 'EX_cpd00204_e0': 0.002}",0.552,0.552,0.552
3-methyl-2-oxobutanoic acid,cpd00123,40.0,132.62195158879672,-30.161,0.771,33.1,26.875,0.03,"{'EX_cpd15380_e0': 0.017, 'EX_cpd01042_e0': 0.012, 'EX_cpd00204_e0': 0.002}",0.552,0.552,0.552
3-methyl-2-oxobutanoic acid,cpd00123,30.0,99.46646369159753,-30.0,0.767,32.949,26.974,0.082,"{'EX_cpd00029_e0': 0.052, 'EX_cpd15380_e0': 0.016, 'EX_cpd01042_e0': 0.012, 'EX_cpd00204_e0': 0.002}",0.55,0.55,0.549
3-methyl-2-oxobutanoic acid,cpd00123,20.0,66.31097579439836,-20.0,0.536,23.032,29.69,7.28,"{'EX_cpd00029_e0': 7.26, 'EX_cpd15380_e0': 0.012, 'EX_cpd01042_e0': 0.008, 'EX_cpd00204_e0': 0.001}",0.505,0.437,0.384
3-methyl-2-oxobutanoic acid,cpd00123,10.0,33.15548789719918,-10.0,0.305,13.115,32.407,14.479,"{'EX_cpd00029_e0': 14.467, 'EX_cpd15380_e0': 0.007, 'EX_cpd01042_e0': 0.005, 'EX_cpd00204_e0': 0.001}",0.46,0.288,0.219
3-methyl-2-oxobutanoic acid,cpd00123,1.0,3.315548789719917,-1.0,0.03,1.277,15.691,43.033,"{'EX_cpd00029_e0': 43.032, 'EX_cpd15380_e0': 0.001, 'EX_cpd01042_e0': 0.0, 'EX_cpd00204_e0': 0.0}",0.738,0.075,0.021
Arginine,cpd00051,2.3558369192817707,10.0,-2.356,0.1,4.291,17.987,6.535,"{'EX_cpd00029_e0': 6.531, 'EX_cpd15380_e0': 0.002, 'EX_cpd01042_e0': 0.002, 'EX_cpd00204_e0': 0.0}",0.376,0.193,0.149
