id	name	reason	replaced_by	pr	date	notes
rxn24212_c0	4-aminobutyrate transaminase (pyruvate dependent) [c0]	unknown		#291	2025-10-21	"fix: remove rxn00656_c0, rxn24212_c0, and WP_197047972.1"
rxn24830_c0	thiocarboxylated molybdopterin synthase:cyclic pyranopterin monophosphate sulfurtransferase [c0]	erroneous_annotation		#278	2025-10-01	fix: remove broken molybdenum pathway
rxn25839_c0	ATP:[ThiS] adenylyltransferase [c0]	dead_end		#144	2025-03-25	fix: add missing thiamine biosynthesis reactions and remove inaccurate/dead-end ones
rxn26021_c0	MobA [c0]	erroneous_annotation		#278	2025-10-01	fix: remove broken molybdenum pathway
rxn26307_c0	RXN0-5306.c [c0]	out_of_scope		#268	2025-09-25	fix: remove unnecessary rhamnose anomerization reactions and anomer metabolites
rxn26361_c0	molybdenum cofactor cytidylyltransferase [c0]	erroneous_annotation		#278	2025-10-01	fix: remove broken molybdenum pathway
rxn27289_c0	thiazole synthase [c0]	dead_end		#144	2025-03-25	fix: add missing thiamine biosynthesis reactions and remove inaccurate/dead-end ones
rxn01354_c0	dGTP:pyruvate 2-O-phosphotransferase [c0]	duplicate	rxn00148_c0	#341	2025-12-18	fix: remove duplicate pyks
rxn39452_c0	"2,3,4,5-tetrahydrodipicolinate:NADP+ 4-oxidoreductase [c0]"	no_genomic_evidence		#339	2025-12-18	fix: remove unsupported differences with other strains' models
rxn41683_c0	[c0]	erroneous_annotation		#278	2025-10-01	fix: remove broken molybdenum pathway
rxn41896_c0	[c0]	erroneous_annotation		#278	2025-10-01	fix: remove broken molybdenum pathway
rxn42230_c0	[c0]	dead_end		#146	2025-03-26	fix: remove dead-end cobalamin metabolism reactions and remove cobalamin metabolites from biomass reaction
rxn44539_c0	[c0]	dead_end		#301	2025-10-22	fix: remove unnecessary dead-end reaction rxn44539_c0 and associated metabolite cpd35194_c0 and gene WP_049589095.1
rxn45692_c0	cysteine:[ThiI sulfur-carrier protein]-L-cysteine sulfurtransferase desulfurase [c0]	dead_end		#128	2025-03-14	fix: replaced disconnected iron-sulfur cluster biosynthesis pathway with intact version
rxn45996_c0	[c0]	erroneous_annotation		#278	2025-10-01	fix: remove broken molybdenum pathway
