id	name	reason	replaced_by	pr	date	notes
cpd15732_c0	1,2-di-14-methylhexadecanoyl-3-O-glucopyranosyl(1-2)-O-glucopyranosyl-glycerol	no_genomic_evidence		#315	2025-10-30	fix: remove reactions and metabolites associated with genes with no relevant annotated functions
cpd15733_c0	1,2-di-12-methyltridecanoyl-3-O-glucopyranosyl(1-2)-O-glucopyranosyl-glycerol	no_genomic_evidence		#315	2025-10-30	fix: remove reactions and metabolites associated with genes with no relevant annotated functions
cpd15734_c0	1,2-di-13-methyltetradecanoyl-3-O-glucopyranosyl(1-2)-O-glucopyranosyl-glycerol	no_genomic_evidence		#315	2025-10-30	fix: remove reactions and metabolites associated with genes with no relevant annotated functions
cpd15735_c0	1,2-di-12-methyltetradecanoyl-3-O-glucopyranosyl(1-2)-O-glucopyranosyl-glycerol	no_genomic_evidence		#315	2025-10-30	fix: remove reactions and metabolites associated with genes with no relevant annotated functions
cpd15736_c0	1,2-di-14-methylpentadecanoyl-3-O-glucopyranosyl(1-2)-O-glucopyranosyl-glycerol	no_genomic_evidence		#315	2025-10-30	fix: remove reactions and metabolites associated with genes with no relevant annotated functions
cpd15746_c0	Palmitoyllipoteichoic acid (n=24), linked, unsubstituted	no_genomic_evidence		#315	2025-10-30	fix: remove reactions and metabolites associated with genes with no relevant annotated functions
cpd15747_c0	Myristoyllipoteichoic acid (n=24), linked, unsubstituted	no_genomic_evidence		#315	2025-10-30	fix: remove reactions and metabolites associated with genes with no relevant annotated functions
cpd15748_c0	Stearoyllipoteichoic acid (n=24), linked, unsubstituted	no_genomic_evidence		#315	2025-10-30	fix: remove reactions and metabolites associated with genes with no relevant annotated functions
cpd15749_c0	Isoheptadecanoyllipoteichoic acid (n=24), linked, unsubstituted	no_genomic_evidence		#315	2025-10-30	fix: remove reactions and metabolites associated with genes with no relevant annotated functions
cpd15750_c0	Anteisoheptadecanoyllipoteichoic acid (n=24), linked, unsubstituted	no_genomic_evidence		#315	2025-10-30	fix: remove reactions and metabolites associated with genes with no relevant annotated functions
cpd15751_c0	Isotetradecanoyllipoteichoic acid (n=24), linked, unsubstituted	no_genomic_evidence		#315	2025-10-30	fix: remove reactions and metabolites associated with genes with no relevant annotated functions
cpd15752_c0	Isopentadecanoyllipoteichoic acid (n=24), linked, unsubstituted	no_genomic_evidence		#315	2025-10-30	fix: remove reactions and metabolites associated with genes with no relevant annotated functions
cpd15753_c0	Anteisopentadecanoyllipoteichoic acid (n=24), linked, unsubstituted	no_genomic_evidence		#315	2025-10-30	fix: remove reactions and metabolites associated with genes with no relevant annotated functions
cpd15754_c0	Isohexadecanoyllipoteichoic acid (n=24), linked, unsubstituted	no_genomic_evidence		#315	2025-10-30	fix: remove reactions and metabolites associated with genes with no relevant annotated functions
cpd15764_c0	Palmitoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine	no_genomic_evidence		#315	2025-10-30	fix: remove reactions and metabolites associated with genes with no relevant annotated functions
cpd15765_c0	Myristoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine	no_genomic_evidence		#315	2025-10-30	fix: remove reactions and metabolites associated with genes with no relevant annotated functions
cpd15766_c0	Stearoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine	no_genomic_evidence		#315	2025-10-30	fix: remove reactions and metabolites associated with genes with no relevant annotated functions
cpd15769_c0	Isotetradecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine	no_genomic_evidence		#315	2025-10-30	fix: remove reactions and metabolites associated with genes with no relevant annotated functions
cpd15770_c0	Isopentadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine	no_genomic_evidence		#315	2025-10-30	fix: remove reactions and metabolites associated with genes with no relevant annotated functions
cpd15771_c0	Anteisopentadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine	no_genomic_evidence		#315	2025-10-30	fix: remove reactions and metabolites associated with genes with no relevant annotated functions
cpd15772_c0	Isohexadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine	no_genomic_evidence		#315	2025-10-30	fix: remove reactions and metabolites associated with genes with no relevant annotated functions
cpd15793_c0	Stearoylcardiolipin (B. subtilis)	orphaned		#304	2025-10-23	fix: remove isolated genes and metabolites or add to appropriate reactions
cpd15807_c0	2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5&apos;-phosphate [c0]	unknown		#137	2025-03-21	fix: remove rxn10506_c0 and cpd15807_c0; fix incorrect name for cpd02882_c0
cpd19001_c0	alpha-D-Glucose [c0]	out_of_scope		#211	2025-04-21	fix: remove unnecessary anomer-specific glucose reactions and metabolites
cpd19006_c0	alpha-D-Glucose 6-phosphate [c0]	out_of_scope		#211	2025-04-21	fix: remove unnecessary anomer-specific glucose reactions and metabolites
cpd19503_c0	Molybdoenzyme molybdenum cofactor	erroneous_annotation		#278	2025-10-01	fix: remove broken molybdenum pathway
cpd19505_c0	Precursor Z	erroneous_annotation		#278	2025-10-01	fix: remove broken molybdenum pathway
cpd21090_c0	Adenylated molybdopterin	erroneous_annotation		#278	2025-10-01	fix: remove broken molybdenum pathway
cpd21167_c0	MGD	erroneous_annotation		#278	2025-10-01	fix: remove broken molybdenum pathway
