,Na⁺/H⁺ antiporter,ATP synthase (F₁),cyt-c reductase,cyt-c oxidase,acetate:H⁺ symport,H⁺ medium exchange,cyt-bo oxidase,cyt-bo reductase,nitrite:H⁺ symport,other (produce),other (consume)
0,41.515906967583,-219.19275073374416,79.94824476338665,79.94824476338668,0.5025836731161261,17.475695533319097,0.0,0.0,0.0,0.0015222128415680344,-0.19944717988899327
20,22.22010896625472,-200.25362896402115,0.0,0.0,1.4331689803636234,16.8847831047703,79.64276543539539,79.64276543539538,0.0,0.6182338167279857,-0.18819677488623146
40,2.834560591694337,-181.285840858644,0.0,0.0,2.319754697317356,16.459472738649783,79.6641532448373,79.66415324483728,-0.06054417091610969,0.581219853428432,-0.17692934122237844
60,-14.148720994662225,-162.14571742072258,0.0,0.0,0.0,17.029723398063805,79.68573537716289,79.68573537716289,-0.48506579475422384,0.5438695929476391,-0.1655595352145993
80,-33.451757278336466,-143.00559398280436,0.0,0.0,0.0,17.599974057495995,79.70731750948843,79.70731750948842,-0.9095874185959018,0.5065193324668513,-0.1541897292068225
100,-52.75479356201037,-123.86547054488241,0.0,0.0,0.0,18.17022471690733,79.72889964181402,79.72889964181402,-1.3341090424334774,0.4691690719860588,-0.14281992319904374
120,-72.05782984568432,-104.72534710696085,0.0,0.0,0.0,18.740475376320806,79.75048177413962,79.75048177413962,-1.7586306662714748,0.43181881150526663,-0.13145011719126512
140,-91.3608661293584,-85.58522366903941,0.0,0.0,0.0,19.31072603573539,79.77206390646523,79.77206390646523,-2.18315229010971,0.3944685510244743,-0.12008031118348646
160,-110.66390241303193,-66.44510023111128,0.0,0.0,0.0,19.880976695113457,79.79364603879087,79.79364603879085,-2.607673913940733,0.35711829054367367,-0.10871050517570532
180,-129.96693869670582,-47.304976793192004,0.0,0.0,0.0,20.45122735453778,79.81522817111646,79.81522817111644,-3.0321955377808556,0.319768030062891,-0.09734069916792958
200,-149.26997498038057,-28.16485335527726,0.0,0.0,0.0,21.0214780139925,79.8368103034418,79.83681030344178,-3.4567171616269734,0.28241776958209913,-0.08597089316015102
