substrate,dissipation_lb,feasible,growth_rate,NaNQR_flux,Na_EX_flux,ATPsyn_flux,NaH_anti_flux,flagella_flux,symporter_flux,acetate,pyruvate,succinate,formate,lactate,fumarate,NH3_secretion,na_medium_import_flag
alanine,0,True,0.5854568237974662,35.56557794922699,-9.358969508214282e-15,56.12036831190013,49.69893316346398,0.0,20.0,6.3873981255831875,0.0,0.0,0.0,0.0,0.0,13.935968875962184,False
alanine,4,True,0.5774522186047112,35.6262071815259,7.042557054562194e-16,55.17341222340496,45.8397735631866,4.0,20.0,6.5735151870332755,0.0,0.0,0.0,0.0,0.0,14.018878790155217,False
alanine,8,True,0.5694476134119754,35.68683641383795,-2.6501526991006147e-15,54.22645613492917,41.98061396293423,8.0,20.0,6.759632248482107,0.0,0.0,0.0,0.0,0.0,14.10178870434701,False
alanine,12,True,0.5614430082192124,35.74746564613661,4.058664110013054e-15,53.27950004643356,38.12145436265644,12.0,20.0,6.945749309932167,0.0,0.0,0.0,0.0,0.0,14.184698618539905,False
alanine,16,True,0.5534384030264792,35.808094878443775,7.042557054562194e-16,52.332543957950726,34.26229476239501,16.0,20.0,7.131866371381456,0.0,0.0,0.0,0.0,0.0,14.267608532732352,False
alanine,20,True,0.5454337978337325,35.868724110748495,-6.0045611036574476e-15,51.38558786946414,30.403135162128724,20.0,20.0,7.317983432830969,0.0,0.0,0.0,0.0,0.0,14.350518446924822,False
alanine,24,True,0.5374291926409862,35.92935334305365,-6.0045611036574476e-15,50.438631780978135,26.543975561863324,24.0,20.0,7.504100494280542,0.0,0.0,0.0,0.0,0.0,14.433428361117192,False
alanine,28,True,0.5294245874482408,35.989982575358276,-6.0045611036574476e-15,49.49167569249142,22.68481596159686,28.0,20.0,7.690217555730059,0.0,0.0,0.0,0.0,0.0,14.516338275309664,False
alanine,32,True,0.5214199822554927,36.05061180766329,7.042557054562194e-16,48.54471960400527,18.825656361331127,32.0,20.0,7.876334617179547,0.0,0.0,0.0,0.0,0.0,14.599248189502136,False
alanine,36,True,0.5134153770627484,36.11124103996796,-6.0045611036574476e-15,47.59776351551861,14.966496761064777,36.0,20.0,8.062451678629058,0.0,0.0,0.0,0.0,0.0,14.682158103694617,False
alanine,40,True,0.50541077187,36.17187027227287,-6.0045611036574476e-15,46.65080742703233,11.107337160798956,40.0,20.0,8.248568740078557,0.0,0.0,0.0,0.0,0.0,14.765068017887105,False
alanine,44,True,0.4974061666772543,36.232499504577866,-6.0045611036574476e-15,45.70385133854616,7.248177560533211,44.0,20.0,8.434685801528051,0.0,0.0,0.0,0.0,0.0,14.847977932079582,False
alanine,48,True,0.4894015614845091,36.2931287368828,7.042557054562194e-16,44.756895250059905,3.3890179602673864,48.0,20.0,8.620802862977541,0.0,0.0,0.0,0.0,0.0,14.93088784627204,False
alanine,52,True,0.4813969562917616,36.35375796918781,1.9849047345154615e-16,43.80993916157339,0.0,52.0,20.000000000000753,8.80691992442785,0.0,0.0,0.0,0.0,0.0,15.013797760465197,False
alanine,56,True,0.4733923510990173,36.41438720149266,1.147900651616123e-15,42.86298307308697,0.0,56.0,20.000000000000817,8.99303698587744,0.0,0.0,0.0,0.0,0.0,15.09670767465772,False
alanine,60,True,0.4653877459062714,36.47501643379747,6.400991866482634e-15,41.91602698460054,0.0,60.0,20.000000000000767,9.179154047326868,0.0,0.0,0.0,0.0,0.0,15.179617588850148,False
alanine,64,True,0.4573831407135179,36.53564566610201,7.042557054562194e-16,40.96907089611769,-2.6823493320071043,64.0,20.0,9.365271108775683,0.0,0.0,0.0,0.0,0.0,15.262527503042218,False
alanine,68,True,0.4493785355207718,36.59627489840685,-1.2713377912771116e-14,40.02211480763109,-6.355391870824372,68.0,20.0,9.551388170225197,0.0,0.0,0.0,0.0,0.0,15.345437417234692,False
alanine,72,True,0.4413739303280257,36.65690413071167,7.042557054562194e-16,39.07515871914467,-10.028434409640951,72.0,20.0,9.737505231674696,0.0,0.0,0.0,0.0,0.0,15.428347331427158,False
alanine,76,True,0.4333693251352818,36.71753336301648,-6.0045611036574476e-15,38.12820263065266,-13.701476948479993,76.0,20.0,9.923622293123849,0.0,0.0,0.0,0.0,0.0,15.51125724561925,False
alanine,80,True,0.4253647199425359,36.77816259532131,-6.0045611036574476e-15,37.18124654216639,-17.374519487295917,80.0,20.0,10.109739354573346,0.0,0.0,0.0,0.0,0.0,15.594167159811708,False
alanine,84,True,0.4173601147497901,36.838791827626146,-9.358969508214282e-15,36.23429045368008,-21.047562026112047,84.0,20.0,10.295856416022852,0.0,0.0,0.0,0.0,0.0,15.677077074004186,False
alanine,88,True,0.4093555095570443,36.89942105993098,-6.0045611036574476e-15,35.28733436519364,-24.72060456492871,88.0,20.0,10.481973477472357,0.0,0.0,0.0,0.0,0.0,15.759986988196658,False
alanine,92,True,0.401350904364296,36.960050292235785,-6.0045611036574476e-15,34.3403782767072,-28.39364710374536,92.0,20.0,10.66809053892186,0.0,0.0,0.0,0.0,0.0,15.842896902389144,False
alanine,96,True,0.3933462991715524,37.02067952454064,-6.0045611036574476e-15,33.39342218822063,-32.06668964256245,96.0,20.0,10.854207600371351,0.0,0.0,0.0,0.0,0.0,15.925806816581598,False
alanine,100,True,0.3853416939788019,37.08130875684545,-2.2776603126441622e-14,32.44646609973423,-35.739732181379054,100.0,20.0,11.04032466182088,0.0,0.0,0.0,0.0,0.0,16.008716730774122,False
alanine,104,True,0.3773370887860587,37.14193798915029,-6.0045611036574476e-15,31.499510011248,-39.41277472019478,104.0,20.0,11.226441723270367,0.0,0.0,0.0,0.0,0.0,16.091626644966563,False
alanine,108,True,0.36933248359331045,37.20256722145512,-1.9422194721884784e-14,30.552553922761536,-43.08581725901155,108.0,20.0,11.412558784719883,0.0,0.0,0.0,0.0,0.0,16.17453655915906,False
alanine,112,True,0.36132787840056413,37.263196453759946,-6.004561103657448e-15,29.60559783427508,-46.75885979782823,112.0,20.0,11.598675846169387,0.0,0.0,0.0,0.0,0.0,16.257446473351532,False
alanine,116,True,0.3533232732078184,37.32382568606479,-6.004561103657448e-15,28.658641745788774,-50.431902336644264,116.0,20.0,11.784792907618892,0.0,0.0,0.0,0.0,0.0,16.340356387544006,False
alanine,120,True,0.3453186680150738,37.38445491836962,-2.6501526991006147e-15,27.711685657302155,-54.1049448754616,120.0,20.0,11.970909969068364,0.0,0.0,0.0,0.0,0.0,16.423266301736465,False
alanine,124,True,0.33731406282232845,37.445084150674454,7.413072514569888e-15,26.76472956881573,-57.777987414278236,124.0,20.0,12.15702703051786,0.0,0.0,0.0,0.0,0.0,16.506176215928917,False
alanine,128,True,0.32930945762958064,37.50571338297927,1.0767480919126722e-14,25.817773480329283,-61.451029953094974,128.0,20.0,12.343144091967371,0.0,0.0,0.0,0.0,0.0,16.589086130121412,False
alanine,132,True,0.3213048524368333,37.56634261528414,1.4121889323683557e-14,24.870817391846114,-65.12407249189849,132.0,20.0,12.529261153417114,0.0,0.0,0.0,0.0,0.0,16.671996044314092,False
alanine,136,True,0.31330024724408606,37.62697184758899,1.747629772824039e-14,23.92386130335989,-68.79711503071427,136.0,20.0,12.715378214866625,0.0,0.0,0.0,0.0,0.0,16.754905958506612,False
alanine,140,True,0.3052956420513397,37.68760107989381,7.413072514569888e-15,22.976905214873298,-72.47015756953152,140.0,20.0,12.901495276316114,0.0,0.0,0.0,0.0,0.0,16.837815872699064,False
alanine,144,True,0.29729103685859315,37.748230312198636,1.0767480919126722e-14,22.029949126387073,-76.1432001083473,144.0,20.0,13.087612337765634,0.0,0.0,0.0,0.0,0.0,16.920725786891502,False
alanine,148,True,0.28928643166584683,37.80885954450347,7.042557054562194e-16,21.082993037900486,-79.8162426471645,148.0,20.0,13.27372939921512,0.0,0.0,0.0,0.0,0.0,17.003635701084008,False
alanine,152,True,0.2812818264731011,37.8694887768083,1.0767480919126722e-14,20.13603694941424,-83.48928518598034,152.0,20.0,13.459846460664629,0.0,0.0,0.0,0.0,0.0,17.086545615276485,False
alanine,156,True,0.27327722128035403,37.93011800911313,7.413072514569888e-15,19.18908086092778,-87.16232772479712,156.0,20.0,13.64596352211414,0.0,0.0,0.0,0.0,0.0,17.169455529468966,False
alanine,160,True,0.2652726160876086,37.990747241417964,4.058664110013054e-15,18.242124772441404,-90.83537026361347,160.0,20.0,13.832080583563634,0.0,0.0,0.0,0.0,0.0,17.252365443661436,False
alanine,164,True,0.2572680108948637,38.05137647372278,4.058664110013054e-15,17.29516868395457,-94.50841280243174,164.0,20.0,14.018197645013124,0.0,0.0,0.0,0.0,0.0,17.335275357853853,False
alanine,168,True,0.2492634057021161,38.11200570602763,1.0767480919126722e-14,16.34821259546821,-98.18145534124801,168.0,20.0,14.204314706462613,0.0,0.0,0.0,0.0,0.0,17.418185272046408,False
alanine,172,True,0.2412588005093698,38.172634938332436,4.058664110013054e-15,15.40125650698175,-101.85449788006478,172.0,20.0,14.390431767912126,0.0,0.0,0.0,0.0,0.0,17.50109518623885,False
alanine,176,True,0.23325419531662314,38.23326417063727,4.058664110013054e-15,14.454300418495395,-105.5275404188811,176.0,20.0,14.57654882936163,0.0,0.0,0.0,0.0,0.0,17.584005100431337,False
alanine,180,True,0.2252495901238757,38.2938934029421,7.413072514569888e-15,13.507344330008918,-109.2005829576978,180.0,20.0,14.76266589081114,0.0,0.0,0.0,0.0,0.0,17.666915014623786,False
alanine,184,True,0.217244984931132,38.354522635246944,-2.6501526991006147e-15,12.560388241522324,-112.87362549651502,184.0,20.0,14.948782952260613,0.0,0.0,0.0,0.0,0.0,17.749824928816267,False
alanine,188,True,0.20924037973838336,38.41515186755177,7.042557054562194e-16,11.613432153036099,-116.5466680353309,188.0,20.0,15.13490001371015,0.0,0.0,0.0,0.0,0.0,17.832734843008737,False
alanine,192,True,0.2012357745456386,38.4757810998566,-2.6501526991006147e-15,10.666476064549503,-120.21971057414818,192.0,20.0,15.321017075159624,0.0,0.0,0.0,0.0,0.0,17.91564475720121,False
alanine,196,True,0.19323116935289153,38.53641033216143,4.058664110013054e-15,9.719519976063253,-123.89275311296406,196.0,20.0,15.507134136609148,0.0,0.0,0.0,0.0,0.0,17.998554671393652,False
alanine,200,True,0.1852265641601473,38.59703956446625,-9.358969508214282e-15,8.772563887576291,-127.56579565178274,200.0,20.0,15.693251198058595,0.0,0.0,0.0,0.0,0.0,18.081464585586158,False
alanine,204,True,0.17722195896740128,38.657668796771084,4.058664110013054e-15,7.825607799090278,-131.23883819059765,204.0,20.0,15.879368259508128,0.0,0.0,0.0,0.0,0.0,18.164374499778596,False
alanine,208,True,0.16921735377465288,38.71829802907592,-6.004561103657448e-15,6.878651710604234,-134.91188072941273,208.0,20.0,16.06548532095766,0.0,0.0,0.0,0.0,0.0,18.247284413971116,False
alanine,212,True,0.16121274858190765,38.77892726138075,2.4185114537354058e-14,5.931695622117634,-138.58492326823006,212.0,20.0,16.25160238240714,0.0,0.0,0.0,0.0,0.0,18.33019432816363,False
alanine,216,True,0.15320814338916072,38.83955649368559,-2.6501526991006147e-15,4.9847395336314095,-142.25796580704576,216.0,20.0,16.437719443856658,0.0,0.0,0.0,0.0,0.0,18.413104242356066,False
alanine,220,True,0.14520353819641565,38.900185725990426,1.747629772824039e-14,4.037783445144797,-145.9310083458632,220.0,20.0,16.623836505306155,0.0,0.0,0.0,0.0,0.0,18.496014156548544,False
alanine,224,True,0.13719893300366734,38.96081495829523,-2.277660312644162e-14,3.0908273566581803,-149.60405088468042,224.0,20.0,16.80995356675565,0.0,0.0,0.0,0.0,0.0,18.578924070740985,False
alanine,228,True,0.12919432781092155,39.02144419060004,7.413072514569888e-15,2.1438712681629486,-153.27709342353234,228.0,20.0,16.996070628204645,0.0,0.0,0.0,0.0,0.0,18.661833984932848,False
alanine,232,True,0.121189722618176,39.08207342290487,-1.9422194721884784e-14,1.1969151796759196,-156.95013596235137,232.0,20.0,17.182187689654107,0.0,0.0,0.0,0.0,0.0,18.7447438991253,False
alanine,236,True,0.1131851174254286,39.14270265520971,7.413072514569888e-15,0.24995909119051493,-160.62317850116384,236.0,20.0,17.368304751103665,0.0,0.0,0.0,0.0,0.0,18.827653813317795,False
alanine,240,True,0.10518051223268508,39.20333188751452,-2.6131011530998452e-14,-0.6969969972971664,-164.2962210399855,240.0,20.0,17.55442181255309,0.0,0.0,0.0,0.0,0.0,18.910563727510233,False
