substrate,growth_rate,total_o2,oxygenase_o2,respiratory_o2,other_o2,total_o2_per_c,oxygenase_o2_per_c,respiratory_o2_per_c
Phenol,0.6057514747483799,41.83104432157751,20.0,21.819997963337087,0.011046358240420773,0.6971840720262918,0.3333333333333333,0.3636666327222848
Glucose,0.8060395838134605,22.51714728234589,0.0,22.50244851169518,0.014698770650706905,0.3752857880390981,0.0,0.375040808528253
Acetate,0.6255291773325629,30.911331781470096,0.0,30.899924761145858,0.01140702032423846,0.5151888630245016,0.0,0.5149987460190977
