substrate,L-Alanine [e0],Acetate [e0],Sulfate [e0],Mg [e0],L-Valine [e0],Glycine [e0],H2O [e0],Ca2+ [e0],H+ [e0],Zn2+ [e0],CO2 [e0],L-Leucine [e0],Formate [e0],NH3 [e0],Cl- [e0],Nitrite [e0],K+ [e0],fe3 [e0],L-Isoleucine [e0],L-Glutamate [e0],Cu2+ [e0],Phosphate [e0],L-Proline [e0],O2 [e0],Mn2+ [e0],Na+ [e0],Co2+ [e0],5'-deoxyribose [e0],p-Cresol [e0],CO [e0],L-Aspartate [e0]
glutamic acid,0.0,0.5025836731189273,-0.1948805413642759,-0.0015222128415678879,0.0,0.0,22.664594185917803,-0.0015222128415678879,-17.475695533317946,-0.0015222128415678879,28.498315505665374,0.0,0.0,4.650865205981316,-0.0015222128415678879,0.0,-0.0015222128415678879,-0.00608885136627155,0.0,-12.0,-0.0015222128415678879,-0.578580909804324,0.0,-20.0,-0.0015222128415678879,2.5588069719873284e-16,-0.0015222128415678879,0.003044425683135776,0.0015222128415678874,0.0015222128415678879,0.0
valine,0.0,3.8842420077701907,-0.1428181693880116,-0.0011155534048178065,-12.0,0.0,17.82779705371929,-0.0011155534048178065,-30.43775281332612,-0.0011155534048178065,29.882148924404817,0.0,5.6360137376337996e-11,19.98169380551196,-0.0011155534048178065,-13.367505906195818,-0.0011155534048178063,-0.004462213619271225,0.0,0.0,-0.0011155534048178065,-0.42401291479749975,0.0,-20.0,-0.0011155534048178065,-3.1243732847007008e-15,-0.0011155534048178065,0.0022311068096356125,0.0011155534048178063,0.0011155534048178063,0.0
isoleucine,0.0,10.695866587750531,-0.1573699454323132,-0.0012292173971650282,0.0,0.0,14.008500146231386,-0.0012292173971650278,-3.7271767786000622,-0.0012292173971650278,13.98171762736465,0.0,-3.1473688354604956e-12,8.708278104392546,-0.0012292173971650282,-4.642851835629642,-0.0012292173971650278,-0.004916869588660111,-10.0,0.0,-0.001229217397165028,-0.46721568796371354,0.0,-20.0,-0.0012292173971650278,4.426513494485181e-15,-0.0012292173971650278,0.0024584347943300555,0.0012292173971650273,0.001229217397165028,0.0
alanine,-20.0,6.387398125583521,-0.16080282937030824,-0.0012560316700393362,0.0,0.0,17.05108775675102,-0.0012560316700393362,-8.643867004817132,-0.0012560316700393362,22.061448511781734,0.0,0.0,13.93596887596253,-0.0012560316700393362,0.0,-0.0012560316700393362,-0.005024126680157344,0.0,0.0,-0.0012560316700393364,-0.4774075783299594,0.0,-20.0,-0.0012560316700393362,7.042557054562194e-16,-0.0012560316700393362,0.0025120633400786724,0.001256031670039336,0.0012560316700393362,0.0
leucine,0.0,15.890927726984867,-0.13713555168126831,-0.001071166450705417,0.0,0.0,9.541475019091973,-0.001071166450705417,10.128354395213819,-0.001071166450705417,6.7580404526000235,-10.000000000000544,0.0,4.828484941069308,-0.001071166450705417,0.0,-0.001071166450705417,-0.004284665802821666,0.0,0.0,-0.001071166450705417,-0.40714178903125814,0.0,-20.0,-0.001071166450705417,3.02216780671821e-15,-0.001071166450705417,0.0021423329014108334,0.0010711664507054167,0.0010711664507054167,0.0
aspartate,0.0,0.0,-0.16773504838736494,-0.0013101792659688833,0.0,0.0,19.38727729534823,-0.0013101792659688833,-24.81706269075052,-0.0013101792659688833,33.751433859571485,0.0,0.0,8.674548153188628,-0.0013101792659688833,0.0,-0.0013101792659688833,-0.005240717063875531,0.0,0.0,-0.0013101792659688833,-0.49798864587914976,0.0,-16.601116186519278,-0.0013101792659688833,-1.4832087432047864e-15,-0.0013101792659688833,0.0026203585319377657,0.0013101792659688828,0.001310179265968883,-15.0
proline,0.0,1.200027925093632,-0.19287534139144014,-0.0015065502149804138,0.0,0.0,14.100170944816446,-0.001506550214980414,-19.433021551727172,-0.001506550214980414,27.417217259720758,0.0,7.1361874980566905e-12,12.022888495619357,-0.0015065502149804138,-7.296405248011994,-0.001506550214980414,-0.006026200859921655,0.0,0.0,-0.001506550214980414,-0.5726276708800887,-12.0,-20.0,-0.001506550214980414,-4.189627640966466e-15,-0.001506550214980414,0.0030131004299608277,0.0015065502149804134,0.0015065502149804138,0.0
glycine,0.0,0.0,-0.15760602568332896,-0.0012310614211359719,0.0,-30.0,20.02814818226468,-0.0012310614211359719,-25.130044921856737,-0.0012310614211359719,35.33650701477087,0.0,0.0,24.056523452839407,-0.0012310614211359719,0.0,-0.0012310614211359717,-0.004924245684543886,0.0,0.0,-0.0012310614211359719,-0.467916586706038,0.0,-18.316040656280503,-0.0012310614211359719,3.438931671479154e-15,-0.0012310614211359719,0.0024621228422719433,0.0012310614211359717,0.0012310614211359717,0.0
cocktail,-2.035225048923679,5.113485412557143,-0.17791795540195396,-0.0013897180014095073,-1.455968688845401,-0.7749510763209393,18.533247417478666,-0.0013897180014095073,-9.047638461077549,-0.0013897180014095073,21.93095761716962,-0.9784735812133073,0.0,6.432615187760921,-0.0013897180014095073,0.0,-0.0013897180014095071,-0.0055588720056380285,-1.0567514677103718,-5.166340508806263,-0.0013897180014095071,-0.528220682201075,-0.32407045009784735,-20.0,-0.0013897180014095073,3.7091743366083785e-16,-0.0013897180014095073,0.0027794360028190143,0.001389718001409507,0.0013897180014095073,-1.350293542074364
