,emp,ed
Glucose,0.7502789322949368,0.6655028757233092
Galactose,0.7301404597708874,0.6454913627427685
Glycerol-3-phosphate,,0.6041980927377412
Mannuronic Acid,,0.48539925888812807
Galacturonic Acid,,0.4853992588881466
