amino_acid,max_production,feasible,ed_flux_pfba,emp_flux_pfba,g6pdh_flux_pfba,oxppp_flux_pfba,ed_flux_loopless,ed_min,ed_max,emp_min,emp_max,ed_min_loopless,ed_max_loopless,ed_required,ed_required_loopless
L-Cysteine,13.333333333333341,True,0.0,-9.999999999999677,19.999999999999677,19.999999999999684,3.3333333333333366,0.0,378.3649999999964,-381.6949999999976,9.999999999999993,0.0,378.3650000000012,False,False
L-Leucine,6.666666666666677,True,10.000000000000005,2.94652952972264e-15,10.000000000000005,0.0,10.0,0.0,400.8174999999991,-390.85250000001025,10.000000000000012,0.0,400.81750000000005,False,False
L-Glutamate,10.0,True,10.000000000000002,4.909398285963963e-15,10.000000000000002,0.0,10.000000000000004,0.0,401.65000000000026,-391.68500000000006,9.999999999999998,0.0,401.6499999999997,False,False
L-Glutamine,10.000000000000005,True,9.999999999999996,6.1430475936958014e-15,9.999999999999998,0.0,0.0,0.0,396.6550000000001,-386.69000000000193,9.999999999999998,0.0,396.6549999999993,False,False
L-Alanine,20.0,True,9.999999999999995,0.0,9.999999999999995,0.0,0.0,0.0,384.16749999999956,-374.20250000000146,9.999999999999998,0.0,384.167500000002,False,False
L-Valine,10.000000000000002,True,10.0,0.0,10.000000000000002,0.0,10.000000000000004,0.0,385.4162500000011,-375.4512499999991,9.999999999999998,0.0,385.41625000000096,False,False
L-Proline,9.999999999999993,True,10.000000000000004,-7.523578268021494e-15,10.000000000000002,0.0,4.999999999999999,0.0,387.91375,-377.9487500000016,9.999999999999998,0.0,387.91375000000096,False,False
