CleanName,Method,replicateID,timepoint,nM
a-ketoglutarate,AN,C,42,28.54691584
a-ketoglutarate,AN,A,42,29.31037086
a-ketoglutarate,AN,B,42,30.00898664
a-ketoglutarate,AN,A,14,19.12714943
a-ketoglutarate,AN,B,14,16.04063986
a-ketoglutarate,AN,C,14,17.1395141
a-ketoglutarate,AN,B,10,8.812680378
a-ketoglutarate,AN,C,10,13.16591637
a-ketoglutarate,AN,A,10,19.34121849
a-ketoglutarate,AN,C,26,23.71491248
a-ketoglutarate,AN,B,26,23.17859974
a-ketoglutarate,AN,A,26,23.57917679
a-ketoglutarate,AN,B,18,19.40074136
a-ketoglutarate,AN,A,18,18.33863495
a-ketoglutarate,AN,C,18,17.18945401
a-ketoglutarate,AN,A,36,30.6360598
a-ketoglutarate,AN,B,36,33.24116852
a-ketoglutarate,AN,C,36,28.81637376
a-ketoglutarate,AN,A,30,17.70323167
a-ketoglutarate,AN,C,30,28.60987123
a-ketoglutarate,AN,B,30,27.46895955
a-ketoglutarate,AN,B,40,35.10092905
a-ketoglutarate,AN,C,40,34.35705757
a-ketoglutarate,AN,A,40,32.90752322
a-ketoglutarate,AN,B,28,24.51825368
a-ketoglutarate,AN,A,28,27.28773294
a-ketoglutarate,AN,C,28,24.41901294
adenosine_5_monophosphate,AN,A,4,2.799421505
adenosine_5_monophosphate,AN,B,4,2.114937186
adenosine_5_monophosphate,AN,C,4,1.825772133
adenosine_5_monophosphate,AN,C,32,7.026819778
adenosine_5_monophosphate,AN,A,32,5.435322088
adenosine_5_monophosphate,AN,B,32,5.668614725
adenosine_5_monophosphate,AN,A,24,0.547191814
adenosine_5_monophosphate,AN,B,24,4.750364035
adenosine_5_monophosphate,AN,C,24,2.683977492
adenosine_5_monophosphate,AN,A,16,3.844708439
adenosine_5_monophosphate,AN,C,16,5.335446557
adenosine_5_monophosphate,AN,B,16,4.561065566
adenosine_5_monophosphate,AN,C,22,4.347170869
adenosine_5_monophosphate,AN,B,22,4.596526355
adenosine_5_monophosphate,AN,A,22,2.775398166
adenosine_5_monophosphate,AN,C,2,2.259927127
adenosine_5_monophosphate,AN,A,2,1.921148303
adenosine_5_monophosphate,AN,B,2,2.544167125
adenosine_5_monophosphate,AN,B,46,8.271018097
adenosine_5_monophosphate,AN,A,46,7.082670086
adenosine_5_monophosphate,AN,C,46,6.802191078
adenosine_5_monophosphate,AN,B,34,6.341917959
adenosine_5_monophosphate,AN,A,34,5.433770747
adenosine_5_monophosphate,AN,C,34,8.335275344
adenosine_5_monophosphate,AN,B,44,6.876616166
adenosine_5_monophosphate,AN,A,44,5.553109852
adenosine_5_monophosphate,AN,C,44,6.370959027
adenosine_5_monophosphate,AN,C,8,3.852905026
adenosine_5_monophosphate,AN,B,8,3.019362375
adenosine_5_monophosphate,AN,A,8,1.71442902
adenosine_5_monophosphate,AN,B,12,3.487264643
adenosine_5_monophosphate,AN,A,12,3.591689295
adenosine_5_monophosphate,AN,C,12,5.322325508
adenosine_5_monophosphate,AN,A,6,1.737445013
adenosine_5_monophosphate,AN,C,6,2.930476214
adenosine_5_monophosphate,AN,B,6,0.821051951
adenosine_5_monophosphate,AN,A,0,0.046891553
adenosine_5_monophosphate,AN,C,0,2.340349266
adenosine_5_monophosphate,AN,B,0,2.680350647
adenosine_5_monophosphate,AN,C,20,4.371337244
adenosine_5_monophosphate,AN,B,20,2.521901486
adenosine_5_monophosphate,AN,A,20,4.471567944
adenosine_5_monophosphate,AN,B,38,8.01493903
adenosine_5_monophosphate,AN,A,38,6.788947899
adenosine_5_monophosphate,AN,C,38,7.583790759
adenosine_5_monophosphate,AN,C,42,4.776459053
adenosine_5_monophosphate,AN,A,42,4.49186779
adenosine_5_monophosphate,AN,B,42,4.600513437
adenosine_5_monophosphate,AN,A,14,5.784508421
adenosine_5_monophosphate,AN,B,14,3.851180818
adenosine_5_monophosphate,AN,C,14,2.733925096
adenosine_5_monophosphate,AN,B,10,2.904926473
adenosine_5_monophosphate,AN,C,10,1.608760046
adenosine_5_monophosphate,AN,A,10,2.974662023
adenosine_5_monophosphate,AN,C,26,4.523696844
adenosine_5_monophosphate,AN,B,26,5.257246721
adenosine_5_monophosphate,AN,A,26,3.699153637
adenosine_5_monophosphate,AN,B,18,3.142888128
adenosine_5_monophosphate,AN,A,18,1.976106533
adenosine_5_monophosphate,AN,C,18,1.421603651
adenosine_5_monophosphate,AN,A,36,5.577040147
adenosine_5_monophosphate,AN,B,36,15.92171107
adenosine_5_monophosphate,AN,C,36,5.972230216
adenosine_5_monophosphate,AN,A,30,5.907892036
adenosine_5_monophosphate,AN,C,30,4.893823066
adenosine_5_monophosphate,AN,B,30,5.90076429
adenosine_5_monophosphate,AN,B,40,8.097325055
adenosine_5_monophosphate,AN,C,40,8.217121846
adenosine_5_monophosphate,AN,A,40,6.855330461
adenosine_5_monophosphate,AN,B,28,6.643883439
adenosine_5_monophosphate,AN,A,28,4.01311077
adenosine_5_monophosphate,AN,C,28,5.553725487
phosphoenolpyruvate,AN,A,4,0.78260351
phosphoenolpyruvate,AN,B,4,1.667389455
phosphoenolpyruvate,AN,C,4,0.802048603
phosphoenolpyruvate,AN,C,32,2.431210149
phosphoenolpyruvate,AN,A,32,3.575378798
phosphoenolpyruvate,AN,B,32,3.199291616
phosphoenolpyruvate,AN,A,24,4.89342695
phosphoenolpyruvate,AN,B,24,2.434019959
phosphoenolpyruvate,AN,C,24,1.693985497
phosphoenolpyruvate,AN,A,16,1.099795537
phosphoenolpyruvate,AN,C,16,2.95298222
phosphoenolpyruvate,AN,B,16,8.601645791
phosphoenolpyruvate,AN,C,22,1.550858241
phosphoenolpyruvate,AN,B,22,1.834672275
phosphoenolpyruvate,AN,A,22,1.258635312
phosphoenolpyruvate,AN,C,2,0.045180667
phosphoenolpyruvate,AN,A,2,3.636070918
phosphoenolpyruvate,AN,B,2,3.266642289
phosphoenolpyruvate,AN,B,46,2.449060077
phosphoenolpyruvate,AN,A,46,1.540596636
phosphoenolpyruvate,AN,C,46,2.459159924
phosphoenolpyruvate,AN,B,34,3.524948039
phosphoenolpyruvate,AN,A,34,3.122483998
