timepoint,2_keto_3_deoxy_6_phosphogluconate,3-phosphoglycerate,a-ketoglutarate,adenosine_5_monophosphate,cysteate,desthiobiotin,glutamic_acid,glutathione_oxidized,glycerol_3_phosphate,n_acetylglutamic_acid,phosphoenolpyruvate,uridine_5_monophosphate
0,2.139790698,0.288660691,9.295110269333334,1.6891971553333331,1.7017753649999998,2.0933799989123805,410.2421756333333,6.406214590499999,3.1062406853333333,1.5559144433333334,1.211589339,1.5152881913333334
2,3.606916424,1.2122405956666666,15.093758750000001,2.2417475183333333,2.2957653216666665,3.317406154419037,635.3079744333332,2.4765161543333334,3.0974872733333334,1.1051393946666668,2.3159646246666665,2.0652135486666667
4,2.7271369056666668,0.288660691,15.172807686666665,2.246710274666667,0.102477568,2.7032438247824278,242.65634673333332,6.561542683333333,4.128421138,1.7579942073333334,1.084013856,2.4003422026666663
6,1.649559687,1.849832054,5.155415122,1.829657726,2.7674810930000002,4.754360902729265,515.1117029666667,12.569322206499999,2.953787058666667,1.5988513513333331,2.173869514,1.9414272786666666
8,6.849422992333333,0.288660691,15.387167820000002,2.8622321403333335,0.102477568,1.9828959121992231,252.96909946666665,8.229451673666667,0.055985191999999996,1.8715816696666667,2.0289571286666668,2.212735691666667
10,4.0429802126666665,2.8168711713333336,13.773271745999999,2.4961161806666667,2.4797323926666666,6.015411408198347,940.2559099,6.966073030333334,4.063304597999999,1.615394281333333,4.748547504333334,3.1333989196666665
12,8.075506596,8.590377656666666,16.241879663333332,4.133759815333334,2.405358526,8.092797670165572,1806.7477706666666,7.8728914009999995,5.920401117,4.388587258,9.992154649333333,6.1297956430000005
14,4.894884218333334,2.475926214,17.435767796666667,4.123204778333333,2.420181202333333,8.442169725032523,480.13193329999996,42.396199722666665,3.3359600263333333,3.506890894,2.7804189676666664,4.734434272333333
16,6.116451190333334,5.167242520666666,15.809610523333333,4.580406854,2.5448553879999998,11.88272178847627,631.9034201333334,9.971235437,0.055985191999999996,2.306053879,4.218141182666667,3.343377777
18,2.208422870333333,0.288660691,18.309610106666668,2.1801994373333335,3.6216538963333336,9.448664124477713,247.14146726666664,13.477206136000001,3.2662081433333334,2.360347594333333,1.406232599,2.988329744666667
20,3.5134596983333335,0.288660691,18.14314693333333,3.7882688913333333,3.2105592076666674,9.164290170073084,328.3896952333333,18.089821671,3.9543740226666664,2.523930148,1.2428459656666666,3.112209943
22,5.404227819666667,1.1593792746666667,18.25393735333333,3.9063651299999997,4.372599078666667,6.392966391784111,355.0823888,16.420912151,3.6390580296666664,2.3534506636666666,1.5480552760000001,3.172536852666667
24,4.675967805666667,3.776259212333333,18.452149606666666,2.6605111136666664,5.573067177666666,4.229227494342799,490.31437316666666,17.159573959666666,3.778150071,2.4592967006666666,3.0071441353333337,3.0515620663333336
26,7.515381053333333,1.3192995973333332,23.490896336666665,4.493365734,3.7150459063333336,3.86910265650895,283.70455913333336,31.44816191,3.376826253333333,2.9792606310000003,2.008801369,3.650063506
28,4.482038691666667,1.3654373506666666,25.408333186666667,5.403573231999999,4.864494464333333,13.147714350191952,500.5679969333333,22.09475049,4.328190811333333,3.0560925196666666,2.007907128,4.378891030666667
30,6.386993814333334,3.1146656296666664,24.594020816666667,5.567493130666667,0.9953832156666667,13.494491382783783,359.8763387666666,31.710288245,3.862207997,3.27462693,2.0645969416666667,4.274630472333333
32,5.348479921333333,3.436732335333333,27.52167174,6.043585530333334,4.617186449,13.48858585105892,722.4199921999999,31.374386643333334,5.109318490333333,3.810249066666666,3.0686268543333335,5.341776240000001
34,9.569057287333335,1.595986949,29.89836597,6.703654683333333,0.102477568,27.11244502600258,570.6924714,29.0582883,6.247714148,4.398592441666667,4.055024024000001,5.576320459333334
36,7.8184221066666675,6.549207224666667,30.897867360000003,9.156993811,4.146823922333334,16.897958010663253,692.5876076333334,59.68149493000001,6.999971356,5.687834102,5.3124600163333335,8.006243321666666
38,9.875180248,4.980977743666666,35.34329908666667,7.462559229333333,6.629190132666667,9.16838200975627,917.5194714999999,18.752591907333333,7.78791458,4.516031001,5.864042112666667,6.608096092666667
40,6.527936600666667,1.2136409906666668,34.121836613333336,7.723259120666667,5.188041072,13.630658224312493,567.1460946333333,38.032571186666665,7.471133753666666,4.780393858333333,2.945651688,6.730331953
42,0.12452283199999999,3.270136710333334,29.288757779999997,4.6229467600000005,4.044676042333333,1.6955313384836401,193.95280493333334,22.378514823333333,7.065188945333333,4.374368605666667,1.9845038503333334,5.4114334269999995
44,4.652909636333333,2.4513425933333335,28.47933218,6.266895015,3.5254289626666666,9.617794563256451,308.5335803333333,27.46694672,6.030144358,4.1978612166666665,1.6922412843333332,5.201932356666667
46,6.0324373719999995,2.5040960583333334,33.97394728333334,7.385293087000001,2.6275053206666663,3.7438798935978483,459.39332630000007,33.52162023333333,5.799808893666667,5.139658609333334,2.1496055456666667,5.6471200816666665
