CleanName,timepoint,mean_nM,sd_nM,n_reps
2_keto_3_deoxy_6_phosphogluconate,0,2.139790698,1.798526477447397,3
2_keto_3_deoxy_6_phosphogluconate,2,3.606916424,3.1852873397422243,3
2_keto_3_deoxy_6_phosphogluconate,4,2.7271369056666668,1.1381927762310453,3
2_keto_3_deoxy_6_phosphogluconate,6,1.649559687,2.641441316275051,3
2_keto_3_deoxy_6_phosphogluconate,8,6.849422992333333,0.8534251487754724,3
2_keto_3_deoxy_6_phosphogluconate,10,4.0429802126666665,2.0206297662732355,3
2_keto_3_deoxy_6_phosphogluconate,12,8.075506596,1.1526337705580905,3
2_keto_3_deoxy_6_phosphogluconate,14,4.894884218333334,2.2550013772245325,3
2_keto_3_deoxy_6_phosphogluconate,16,6.116451190333334,1.178836428657364,3
2_keto_3_deoxy_6_phosphogluconate,18,2.208422870333333,2.0807854844634623,3
2_keto_3_deoxy_6_phosphogluconate,20,3.5134596983333335,0.5965429314808162,3
2_keto_3_deoxy_6_phosphogluconate,22,5.404227819666667,1.1467960915208837,3
2_keto_3_deoxy_6_phosphogluconate,24,4.675967805666667,0.8192536396810954,3
2_keto_3_deoxy_6_phosphogluconate,26,7.515381053333333,0.9174834803015506,3
2_keto_3_deoxy_6_phosphogluconate,28,4.482038691666667,1.4603385240432836,3
2_keto_3_deoxy_6_phosphogluconate,30,6.386993814333334,0.7646645352507291,3
2_keto_3_deoxy_6_phosphogluconate,32,5.348479921333333,1.0159473191352855,3
2_keto_3_deoxy_6_phosphogluconate,34,9.569057287333335,0.43778603350791484,3
2_keto_3_deoxy_6_phosphogluconate,36,7.8184221066666675,0.6414817818928661,3
2_keto_3_deoxy_6_phosphogluconate,38,9.875180248,2.2636931499272044,3
2_keto_3_deoxy_6_phosphogluconate,40,6.527936600666667,0.7912688843546973,3
2_keto_3_deoxy_6_phosphogluconate,42,0.12452283199999999,0.0,3
2_keto_3_deoxy_6_phosphogluconate,44,4.652909636333333,0.7899823398455565,3
2_keto_3_deoxy_6_phosphogluconate,46,6.0324373719999995,1.5366739236133238,3
3-phosphoglycerate,0,0.288660691,0.0,3
3-phosphoglycerate,2,1.2122405956666666,1.5996873197322867,3
3-phosphoglycerate,4,0.288660691,0.0,3
3-phosphoglycerate,6,1.849832054,2.7040281200375547,3
3-phosphoglycerate,8,0.288660691,0.0,3
3-phosphoglycerate,10,2.8168711713333336,4.378989004165449,3
3-phosphoglycerate,12,8.590377656666666,2.591161710889515,3
3-phosphoglycerate,14,2.475926214,1.978985529997984,3
3-phosphoglycerate,16,5.167242520666666,2.954666743024975,3
3-phosphoglycerate,18,0.288660691,0.0,3
3-phosphoglycerate,20,0.288660691,0.0,3
3-phosphoglycerate,22,1.1593792746666667,1.5081288260050791,3
3-phosphoglycerate,24,3.776259212333333,0.545700904277521,3
3-phosphoglycerate,26,1.3192995973333332,1.7851189500265545,3
3-phosphoglycerate,28,1.3654373506666666,1.865031882946968,3
3-phosphoglycerate,30,3.1146656296666664,0.189246259013051,3
3-phosphoglycerate,32,3.436732335333333,2.733399530410723,3
3-phosphoglycerate,34,1.595986949,2.264355500924898,3
3-phosphoglycerate,36,6.549207224666667,4.915362656171548,3
3-phosphoglycerate,38,4.980977743666666,2.1460646226820974,3
3-phosphoglycerate,40,1.2136409906666668,1.602112875022952,3
3-phosphoglycerate,42,3.270136710333334,0.24038154190322775,3
3-phosphoglycerate,44,2.4513425933333335,1.8926949381182927,3
3-phosphoglycerate,46,2.5040960583333334,1.9215355475947038,3
a-ketoglutarate,0,9.295110269333334,8.081849416488337,3
a-ketoglutarate,2,15.093758750000001,0.16670538126554715,3
a-ketoglutarate,4,15.172807686666665,1.5739943307609212,3
a-ketoglutarate,6,5.155415122,8.884324348197893,3
a-ketoglutarate,8,15.387167820000002,1.82890939015998,3
a-ketoglutarate,10,13.773271745999999,5.290480990281147,3
a-ketoglutarate,12,16.241879663333332,3.040452273526346,3
a-ketoglutarate,14,17.435767796666667,1.564436007325611,3
a-ketoglutarate,16,15.809610523333333,3.9588337914952176,3
a-ketoglutarate,18,18.309610106666668,1.1059293680951774,3
a-ketoglutarate,20,18.14314693333333,3.0494239724049943,3
a-ketoglutarate,22,18.25393735333333,1.6323674507358068,3
a-ketoglutarate,24,18.452149606666666,2.369755563619269,3
a-ketoglutarate,26,23.490896336666665,0.2788421015595228,3
a-ketoglutarate,28,25.408333186666667,1.6283641348730904,3
a-ketoglutarate,30,24.594020816666667,5.9948020120146115,3
a-ketoglutarate,32,27.52167174,5.659759063686624,3
a-ketoglutarate,34,29.89836597,2.7282573858214305,3
a-ketoglutarate,36,30.897867360000003,2.223985064222718,3
a-ketoglutarate,38,35.34329908666667,2.9355678883321192,3
a-ketoglutarate,40,34.121836613333336,1.1154613205355361,3
a-ketoglutarate,42,29.288757779999997,0.7312749824610933,3
a-ketoglutarate,44,28.47933218,4.196674001858817,3
a-ketoglutarate,46,33.97394728333334,1.5344128983412666,3
adenosine_5_monophosphate,0,1.6891971553333331,1.4324021793344446,3
adenosine_5_monophosphate,2,2.2417475183333333,0.3119070162244219,3
adenosine_5_monophosphate,4,2.246710274666667,0.5000213846142619,3
adenosine_5_monophosphate,6,1.829657726,1.0577310946844611,3
adenosine_5_monophosphate,8,2.8622321403333335,1.0778623938352379,3
adenosine_5_monophosphate,10,2.4961161806666667,0.7692635725363423,3
adenosine_5_monophosphate,12,4.133759815333334,1.0306514596722187,3
adenosine_5_monophosphate,14,4.123204778333333,1.5433769571749432,3
adenosine_5_monophosphate,16,4.580406854,0.7455572400430898,3
adenosine_5_monophosphate,18,2.1801994373333335,0.8786042897059532,3
adenosine_5_monophosphate,20,3.7882688913333333,1.0978507878002512,3
