ids,glutamic acid,alanine,valine,aspartate,isoleucine,leucine,glycine,proline,cocktail,reaction_name,reaction_string
rxn03910_c0,-7.753542325077845e-16,6.437049128576882e-16,-4.958096374042305e-16,-4.643576506323476e-16,4.718018227110832e-16,2.849916876309724e-16,3.206042951243559e-16,2.8554957688435287e-15,1.4723504317788978e-16,2-Phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol CMP-lyase (cyclizing) [c0],2-phospho-4--cytidine5-diphospho-2-C-methyl-D-erythritol <=> CMP + 2-C-methyl-D-erythritol2-4-cyclodiphosphate
rxn02474_c0,-4.243557260059628e-16,-9.765351470522175e-17,3.905953939253057e-17,1.2263533406924521e-15,-8.17844169833138e-16,-1.5210636247359008e-16,-5.63378627283179e-17,8.579545943812894e-16,1.4891138520144517e-15,5-amino-6-(5-phosphoribitylamino)uracil:NADP+ 1'-oxidoreductase [c0],NADP + 5-Amino-6--5-phosphoribitylaminouracil <=> NADPH + H+ + 5-Amino-6--5-phosphoribosylaminouracil
rxn05342_c0,-4.849779725782431e-16,-9.765351470522175e-17,1.6081735601268022e-16,-2.9181514350529477e-16,-4.2999880055220086e-16,-2.6501718351602014e-16,3.1506614788319497e-16,4.8637789823229955e-15,-4.69036503871405e-17,(3R)-3-Hydroxytetradecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase [c0],NADP + (3R)-3-Hydroxytetradecanoyl-ACP <=> NADPH + H+ + 3-Oxotetradecanoyl-ACP
rxn02507_c0,3.534770181705543e-16,-8.237842515938964e-17,3.1072823881219073e-16,7.732933873707903e-16,-6.218712918086168e-16,-7.016907462934536e-16,-1.5633583200870734e-16,8.370053497884862e-15,-9.499939776723925e-16,1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose-5-phosphate carboxy-lyase(cyclizing) [c0],H+ + 1-(2-carboxyphenylamino)-1-deoxyribulose 5-phosphate --> H2O + CO2 + Indoleglycerol phosphate
rxn00832_c0,3.9629821858913613e-14,3.0134096544766807e-14,-2.6240200058951783e-14,6.654714668529918e-15,3.6348878682087846e-15,4.6480328402907443e-14,2.5182292446407015e-14,4.974363607255428e-15,4.376832472184674e-15,"IMP 1,2-hydrolase (decyclizing) [c0]",H2O + IMP <=> FAICAR
rxn05295_c0,-1.2124449314456075e-16,-2.980485512174665e-16,3.1072823881219073e-16,3.4007520646271665e-17,-6.218712918086168e-16,7.069142642721902e-16,-2.3776037813207635e-16,-5.64121015433768e-16,2.5238620835980648e-15,mRNA synthesis,0.524495708488791 ATP + 0.644609229516758 GTP + 0.400378403426558 CTP + 0.432408675700682 UTP --> 2.00189201713279 PPi + mRNA
rxn05323_c0,9.986083432153945e-16,-3.8405894904311455e-16,-1.712457258521402e-16,-1.0997394288516203e-16,7.783439296390177e-16,1.6734064801032056e-16,-1.9409331120095712e-16,2.3446855576248706e-15,-1.3299571740218986e-15,"Tetradecanoyl-[acyl-carrier protein]:malonyl-CoA C-acyltransferase(decarboxylating, oxoacyl- and enoyl-reducing) [c0]",NADH + H+ + (2E)-Tetradecenoyl-ACP --> NAD + Tetradecanoyl-ACP
rxn01000_c0,1.7697344063511953e-15,-1.0313467168935597e-15,2.987920594541179e-16,2.36050321049472e-16,-2.7740991435293884e-16,1.2005088767890264e-16,-5.5430726961393495e-16,-5.641210154337678e-16,6.236157049018979e-16,prephenate hydro-lyase (decarboxylating; phenylpyruvate-forming) [c0],H+ + Prephenate --> H2O + CO2 + Phenylpyruvate
rxn03393_c0,3.8932986862453284e-16,2.933091853001201e-15,6.777652796004596e-18,-1.5079330127444407e-16,-7.091314848404689e-16,-3.9231591160379133e-16,-5.01795830225989e-16,1.4047601127858025e-15,-1.3299385552239039e-16,3-octaprenyl-4-hydroxybenzoate carboxy-lyase [c0],H+ + 3-Octaprenyl-4-hydroxybenzoate --> CO2 + 2-Octaprenylphenol
rxn01362_c0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orotidine-5'-phosphate:diphosphate phospho-alpha-D-ribosyl-transferase [c0],PRPP + Orotate --> PPi + H+ + Orotidylic acid
