compounds	minFlux	maxFlux	name	formula	concentration
cpd00007	-20	1000	O2	O2	1
cpd00001	-1000	1000	H2O	H2O	1
cpd00067	-1000	1000	H+	H	1
cpd00971	-1000	1000	Na+	Na	1
cpd00209	-1000	1000	Nitrate	NO3	1
cpd00009	-1000	1000	Phosphate	HO4P	1
cpd20826	-1000	1000	Silica	O2Si	1
cpd00240	-1000	1000	EDTA	C10H13N2O8	1
cpd10516	-1000	1000	Fe+3	Fe	1
cpd00099	-1000	1000	Cl-	Cl	1
cpd00030	-1000	1000	Mn2+	Mn	1
cpd00034	-1000	1000	Zn2+	Zn	1
cpd00048	-1000	1000	Sulfate	O4S	1
cpd00149	-1000	1000	Co2+	Co	1
cpd00058	-1000	1000	Cu2+	Cu	1
cpd11574	-1000	1000	Molybdate	MoO4	1
cpd03387	-1000	1000	Selenite	O3Se	1
cpd00244	-1000	1000	Ni2+	Ni	1
cpd08438	-1000	1000	ortho-Vanadate	H2O4V	1
cpd00205	-1000	1000	K+	K	1
cpd11595	-1000	1000	chromate	H2CrO4	1
cpd00305	-1000	1000	Thiamin	C12H17N4OS	1
cpd00104	-1000	1000	BIOT	C10H15N2O3S	1
cpd01826	-1000	1000	Dicopac	C63H88CoN14O14P	1
cpd00063	-1000	1000	Ca2+	Ca	1
cpd00254	-1000	1000	Mg	Mg	1
