o2,ed_use,ed_percent,growth_rate,cue,bge,acetate_secretion
20,0.0,0.0,0.7502789322950475,0.6226366225047826,0.58732756261915,2.5550783850320524
20,1.0,10.000000000083965,0.7422235432857258,0.6231093522037718,0.5850131442147648,2.7423762336011905
20,2.0,19.999999999937273,0.7341681542772263,0.6235820819027116,0.5826667071782422,2.92967408215135
20,3.0,30.0,0.7261127652681277,0.6240548116016854,0.5802875824423632,3.1169719307154518
20,4.0,39.99999999999636,0.7180573762591698,0.6245275413006559,0.5778750821685409,3.3042697792761184
20,5.0,50.00000000283957,0.7100019872479248,0.6250002709997552,0.5754284990822137,3.4915676278903276
20,6.0,59.99999999543103,0.7019465982443189,0.6254730006984073,0.5729471057863058,3.6788654763268025
20,7.0,69.99999999960711,0.6938912092324797,0.6259457303975533,0.5704301540284586,3.8661633249537632
20,8.0,80.00000000001664,0.6858358202232903,0.6264184600965309,0.5678768739649576,4.05346117352023
20,9.0,90.00000000346195,0.6777804312127921,0.6268911897955869,0.5652864733628563,4.240759022117024
20,10.0,100.00000000000003,0.6655028757233092,0.627611696912517,0.561265081560588,4.526227511125944
1000,0.0,0.0,0.8060395838134605,0.5774118595371507,0.5772335123416149,0.0
1000,1.0,10.000000000012559,0.8020716819535676,0.574569426439093,0.5743907638645276,0.0
1000,2.0,19.999999999997826,0.798103780093719,0.5717269933410685,0.5715480271993835,0.0
1000,3.0,30.0,0.794135878233847,0.56888456024303,0.5687053023460614,0.0
1000,4.0,39.999999999973895,0.7901679763740553,0.5660421271449898,0.5658625893045267,0.0
1000,5.0,50.00000001079663,0.7862000745098348,0.5631996940438576,0.5630198880715548,0.0
1000,6.0,59.999999978816945,0.7822321726612542,0.560357260953898,0.5601771986613863,0.0
1000,7.0,69.99999999762302,0.7782642707950574,0.5575148278513162,0.5573345210501384,0.0
1000,8.0,80.00000000000124,0.7742963689345187,0.5546723947527863,0.5544918552544124,0.0
1000,9.0,90.00000001983,0.7703284670702766,0.5518299616516105,0.5516492012674324,0.0
1000,10.0,100.00000000000003,0.7639730954168764,0.5472772485614198,0.5470961589949833,0.0
