substrate,PC1,PC2,PC3,PC4,PC5
glutamic acid,28.67001967929657,1.0426854458913188,-1.1229942331612852,-0.06078670003261134,-3.187829550172634
valine,-21.271610744230223,2.4968570788320767,12.68028708642693,0.8776412977716183,-4.861831650513081
isoleucine,-8.37506135505052,6.819718734947694,1.4496177604750675,-6.154327761623814,9.092424672776463
alanine,-4.41916995471095,-2.6163247812564845,-2.9366116034274983,-2.002623190352802,-0.14947430661009553
leucine,-27.537994697684294,4.508990270006019,-9.718814296808082,4.940817351221916,-2.7934528036204713
aspartate,3.374872615140081,-3.0742288734168293,1.00854513981363,9.208876585136535,5.159582829614807
proline,26.225604536003047,1.4859372066364127,2.197177217076021,3.9651862266039277,0.42594345096715447
glycine,-7.5172036584349655,-15.246957155666834,-0.6002157569928859,-4.242385639543487,0.1119490651759646
cocktail,10.850543579671323,4.583322074026606,-2.956991313401906,-6.5323981691812785,-3.7973117076181024
