,glutamic acid,valine,isoleucine,alanine,leucine,aspartate,proline,glycine
glutamic acid,0.0,0.004000944606108892,0.002353861121147993,0.0,0.0027807366196656025,0.005466972725645558,0.0,0.012517589812786167
valine,0.004000944606108892,0.0,0.0036912433256813815,0.005290312528213548,0.0059337011132057915,0.045301462277341664,0.0035701164467258906,0.05184685846785708
isoleucine,0.002353861121147993,0.0036912433256813815,0.0,0.0034355055939193635,0.005552807265333803,0.0410334261551879,0.001942247577426559,0.06685490457502397
alanine,0.0,0.005290312528213548,0.0034355055939193635,0.0,0.0022944841647114522,0.037409244156125676,0.0031067385190741703,0.06796454838545252
leucine,0.0027807366196656025,0.0059337011132057915,0.005552807265333803,0.0022944841647114522,0.0,0.040095867397086815,0.006431039328171906,0.07292677160586669
aspartate,0.005466972725645558,0.045301462277341664,0.0410334261551879,0.037409244156125676,0.040095867397086815,0.0,0.041059546863982055,0.015578532062566763
proline,0.0,0.0035701164467258906,0.001942247577426559,0.0031067385190741703,0.006431039328171906,0.041059546863982055,0.0,0.031025297563042953
glycine,0.012517589812786167,0.05184685846785708,0.06685490457502397,0.06796454838545252,0.07292677160586669,0.015578532062566763,0.031025297563042953,0.0
