,source,target
118,rxn05733_c0,rxn00623_c0
119,rxn05733_c0,rxn05256_c0
120,rxn05733_c0,rxn05289_c0
121,rxn05733_c0,rxn05239_c0
122,rxn05733_c0,rxn09069_c0
123,rxn05733_c0,rxn05231_c0
124,rxn05733_c0,rxn06078_c0
125,rxn05733_c0,rxn06076_c0
126,rxn05733_c0,rxn06075_c0
127,rxn05733_c0,rxn09330_c0
128,rxn05733_c0,rxn07450_c0
129,rxn05733_c0,rxn09260_c0
130,rxn05733_c0,rxn01416_c0
131,rxn05733_c0,rxn00649_c0
132,rxn05733_c0,rxn09296_c0
133,rxn03253_c0,rxn03245_c0
134,rxn03253_c0,rxn03243_c0
135,rxn08813_c0,rxn08816_c0
136,rxn08813_c0,rxn08850_c0
137,rxn08813_c0,rxn08846_c0
138,rxn08813_c0,rxn08849_c0
139,rxn08813_c0,rxn08845_c0
140,rxn08813_c0,rxn08814_c0
141,rxn08813_c0,rxn08811_c0
142,rxn08813_c0,rxn08812_c0
143,rxn08813_c0,rxn08815_c0
144,rxn08813_c0,rxn08810_c0
145,rxn08813_c0,rxn08848_c0
146,rxn08813_c0,rxn08669_c0
147,rxn08813_c0,rxn08851_c0
148,rxn08813_c0,rxn08847_c0
149,rxn03842_c0,rxn01747_c0
150,rxn08808_c0,rxn08803_c0
151,rxn08808_c0,rxn08838_c0
152,rxn08808_c0,rxn08805_c0
153,rxn08808_c0,rxn08807_c0
154,rxn08808_c0,rxn08843_c0
155,rxn08808_c0,rxn01073_c0
156,rxn08808_c0,rxn08804_c0
157,rxn08808_c0,rxn08840_c0
158,rxn08808_c0,rxn08806_c0
159,rxn08808_c0,rxn08841_c0
160,rxn08808_c0,rxn08809_c0
161,rxn08808_c0,rxn08842_c0
162,rxn08808_c0,rxn08844_c0
163,rxn09200_c0,rxn09208_c0
164,rxn09200_c0,rxn08119_c0
165,rxn03251_c0,rxn03250_c0
166,rxn03251_c0,rxn03248_c0
167,rxn15293_c0,rxn01457_c0
168,rxn10570_c0,rxn09979_c0
169,rxn10570_c0,EX_cpd00116_e0
170,rxn10570_c0,rxn16573_c0
171,rxn10570_c0,rxn09978_c0
172,rxn40439_c0,rxn02277_c0
173,rxn40439_c0,rxn21864_c0
174,rxn40439_c0,rxn05296_c0
175,rxn40439_c0,rxn00313_c0
176,rxn40439_c0,rxn00321_c0
177,rxn40439_c0,rxn02312_c0
178,rxn14061_c0,rxn14333_c0
179,rxn14061_c0,rxn14040_c0
180,rxn14061_c0,rxn14011_c0
181,rxn14061_c0,rxn04113_c0
182,rxn14061_c0,rxn14334_c0
183,rxn14061_c0,rxn03892_c0
184,rxn14061_c0,rxn05287_c0
185,rxn14061_c0,rxn03891_c0
186,rxn14061_c0,rxn01466_c0
187,rxn14061_c0,rxn13957_c0
188,rxn14061_c0,rxn12008_c0
189,rxn14061_c0,rxn01213_c0
190,rxn14061_c0,rxn03843_c0
191,rxn14061_c0,rxn05030_c0
192,rxn14061_c0,rxn09037_c0
193,rxn14061_c0,rxn08756_c0
194,rxn01639_c0,rxn01642_c0
195,rxn19704_c0,rxn43581_c0
196,rxn05340_c0,rxn05348_c0
197,rxn05340_c0,rxn05331_c0
